candidate_id,cluster_loading,feedback_curvature,feedback_shift,spike_curvature,accepted_mean,accepted_std,distance_mean,distance_std,rough_hurst_mean,rough_hurst_std,leverage_rank_mean,leverage_rank_std,zumbach_rank_mean,zumbach_rank_std,excess_kurtosis_mean,excess_kurtosis_std,mean_log_variance_acf_mean,mean_log_variance_acf_std,max_abs_return_acf_mean,max_abs_return_acf_std,p_cap_exceedance_fraction_mean,p_cap_exceedance_fraction_std
0,0.24,0.073,3.0,0.22,0.8,0.4472135954999579,1.56617744260882e-05,3.5020792265000966e-05,0.07503292000696876,0.004064504080404821,-0.0122719531464282,0.0051915980261294905,0.05589827568065629,0.0241691524317476,5.886524290995899,0.6871965723531829,0.18619708468650123,0.01561324948037929,0.07935318825564278,0.005810140824626869,5.4563492063492063e-05,6.654964218749374e-05
1,0.24,0.073,3.0,0.26,0.4,0.5477225575051661,1.1515969805231695e-05,1.2184110021593057e-05,0.08412856689319148,0.004956491852755922,-0.009368985996799625,0.005517743383277637,0.05880040729630435,0.022823409635593067,6.655248722792189,0.7364582229436035,0.18512073979928925,0.01520056309232999,0.0801889756164295,0.005463258311636619,0.00013392857142857144,0.00010315790844784436
2,0.24,0.073,3.0,0.3,0.4,0.5477225575051661,4.4893095479902954e-05,4.5001466827287965e-05,0.09229000093786806,0.00550068126953709,-0.007028783777912638,0.005799501988233338,0.05845442842279105,0.021488381784282053,7.627865301996687,0.8005025910992428,0.18414682273013247,0.015438448670477254,0.0812904023282187,0.004919927174946391,0.00022321428571428573,0.00016357770285556697
3,0.24,0.073,3.0,0.34,0.4,0.5477225575051661,8.862414040154481e-05,8.807777523514293e-05,0.09928157638361414,0.00557396542537916,-0.005100760947444878,0.006016827555004223,0.05560571912072152,0.01982911183558512,8.838420662172547,0.9508388268176462,0.18348646086516202,0.016183815598216855,0.0826015358157854,0.0040666741242255215,0.0005307539682539682,0.00032602533184831323
4,0.24,0.073,3.3,0.22,0.4,0.5477225575051661,0.0013887619917729297,0.002638508305922959,0.06865816458656779,0.003764602845833723,-0.014183587665116345,0.004835648875314432,0.048202763301356574,0.02508263520997429,6.275534938757271,0.7295375919160991,0.1728399169658157,0.015522210176577796,0.07935976718826142,0.006198764570177286,9.424603174603175e-05,8.483448103416206e-05
5,0.24,0.073,3.3,0.26,0.4,0.5477225575051661,6.631281036733588e-07,1.152267536451199e-06,0.07741953898131845,0.004570871754502255,-0.011148950979987495,0.00518546345405766,0.0521602274558544,0.023741489850410916,6.993324726287621,0.7846583334177848,0.1735651527419085,0.01549370260907004,0.08024156459190032,0.005890043024070579,0.0001736111111111111,0.00012023015519385736
6,0.24,0.073,3.3,0.3,0.4,0.5477225575051661,1.880948969257767e-05,1.9330130133425394e-05,0.08555587376738678,0.005132217489509256,-0.008626284992478528,0.005512755086569967,0.05277785107848106,0.022219323844483198,7.893940707968047,0.8633824879635787,0.1742687189541608,0.015980699553590612,0.0813356977292539,0.005357572228961813,0.00033730158730158733,0.00018609455835619118
7,0.24,0.073,3.3,0.34,0.4,0.5477225575051661,5.2389978626027345e-05,5.2460948028185085e-05,0.09272868223191355,0.005255233833425361,-0.006562685534335422,0.005734307341730877,0.05112893011613906,0.020859662400219834,9.03362996760028,0.9825097172572548,0.17510172067505964,0.01683980068506546,0.08264758498330829,0.004385008839928835,0.0007837301587301587,0.00043688824972761974
8,0.24,0.073,3.6,0.22,0.0,0.0,0.007115005782336059,0.006927994668876453,0.06314124102233998,0.00348919843170539,-0.015930249389512263,0.004547878980637573,0.041010523150314025,0.025508398659603866,6.687927979363725,0.7717075726257764,0.1606683066960362,0.015337784906957985,0.07947594688631468,0.006504388766958551,0.00014384920634920637,8.838556389486836e-05
9,0.24,0.073,3.6,0.26,0.6,0.5477225575051662,0.0005276379646284619,0.0011248094650566207,0.07147075537552068,0.004200603679875698,-0.012824136048048357,0.0049286471294898125,0.045776976334123316,0.02440961566412742,7.376116510196733,0.8507850628883848,0.16278714215790718,0.01563545144691827,0.08042372419822105,0.0062528026042654675,0.00025297619047619046,0.00012074068893490163
10,0.24,0.073,3.6,0.3,0.2,0.4472135954999579,7.630032550864427e-06,6.810481561465479e-06,0.07943369930230458,0.004746991738982997,-0.010159047170674918,0.005198289585547543,0.047239366474566065,0.02300231200072926,8.222529911189445,0.9246174534424585,0.1648729606621862,0.016350746025053202,0.08142940404138502,0.005832455624825653,0.0005853174603174603,0.0003198347155084858
11,0.24,0.073,3.6,0.34,0.2,0.4472135954999579,2.7987118135504588e-05,2.648464603835511e-05,0.08663038290520189,0.004880607776198852,-0.007975090087238861,0.005470750460202841,0.04640606891777177,0.02154257397249325,9.326295525083697,1.0087958291227461,0.16697793115445309,0.01728849212489434,0.08282054977281375,0.004745677668306693,0.0010863095238095237,0.0004958456992366669
12,0.24,0.073,3.9,0.22,0.0,0.0,0.018076011751765757,0.010452749744153719,0.05837617236334608,0.003244444900222364,-0.017522585232651666,0.004309265375660903,0.03418081182337382,0.02572454171194825,7.135621468453586,0.8211038918398956,0.14967796760272387,0.015079972987124251,0.07963296472647394,0.00671472805295101,0.00023809523809523812,0.00011174484450465088
13,0.24,0.073,3.9,0.26,0.2,0.447213595499958,0.003383300070080142,0.004643434069895335,0.06622931971951593,0.003856863075712188,-0.014325801980918295,0.004671041257166892,0.03955249979232441,0.025151721252797604,7.804649183460389,0.9218601951725851,0.15286967530354204,0.015640276263626997,0.08059209063504272,0.006635774122254113,0.0004811507936507937,0.00017763893432013868
14,0.24,0.073,3.9,0.3,0.4,0.5477225575051661,0.00019189020599919555,0.0002809712563677221,0.07391020683687265,0.004339456939068363,-0.011625578654745224,0.0049725297582636566,0.0418971959629896,0.02374995738883921,8.631659972502353,0.9788926969703011,0.15606236118572595,0.016521369796247964,0.0815913019062812,0.006119334028635617,0.0009474206349206349,0.00045238258406138485
15,0.24,0.073,3.9,0.34,0.2,0.4472135954999579,5.253186131237403e-05,5.430029488413825e-05,0.08099810214078428,0.004448198730972567,-0.009380285123839618,0.005209727996555354,0.042014418696754825,0.022166517860181246,9.654910320305117,1.047909834911049,0.15920942701713325,0.017490565204799188,0.08288643807911696,0.005027483303038642,0.0015724206349206349,0.0006549215924800068
16,0.3,0.073,3.0,0.22,0.4,0.5477225575051661,7.71922472846674e-06,7.274540273450999e-06,0.07974225129838383,0.0038212835047523575,-0.009586062186992718,0.005196909602243984,0.05051528027053224,0.02413741782137587,6.142088861098946,0.7457226280430267,0.22284526629066587,0.01823381247806221,0.0809194482029442,0.006172182759428763,6.448412698412698e-05,7.959725464226793e-05
