architecture,candidate_id,seed_pass_fraction,mean_distance,rough_hurst,leverage_rank,zumbach_rank,excess_kurtosis,mean_log_variance_acf,max_abs_return_acf,p_cap_exceedance_fraction,cluster_loading,feedback_curvature,feedback_shift,spike_curvature,orthogonal_curvature,echo_loading,cap_level,cap_sharpness,strong_zumbach_fraction
mid_10_500_pm05,0,0.0,0.0005720992595288161,0.10310589333391769,0.0010878920089310428,0.01907493601232359,6.874742215052321,0.4204963754951147,0.09165138025487746,8.267195767195768e-06,0.5617217980790883,0.06091085706892557,3.6096060039475555,0.14691973020075133,0.0,0.0,6.0213210470974445,6.610366810113192,0.3333333333333333
mid_10_500_pm05,1,0.0,0.08749832349875036,0.04359247879241435,-0.016661482610584186,0.014255457243963291,6.740085382490794,0.17954189518459382,0.08289257931499898,6.613756613756614e-05,0.3044042682275176,0.1678397289298154,1.3792040108703076,0.10764987002755068,0.0,0.0,5.215695656836033,8.380460690706968,0.3333333333333333
mid_10_500_pm05,2,0.0,0.00044912382885480933,0.1078532221729624,-0.00031094013316568047,0.028011819405799398,14.85253781743046,0.20653046637660957,0.09057050073874084,0.0037533068783068783,0.3812765271868557,0.08601246111365926,3.0579395294189453,0.4688762135101204,0.0,0.0,5.586295608431101,9.928857538849115,0.6666666666666666
mid_10_500_pm05,3,0.0,0.01758244785880718,0.05928088316093444,-0.011202290154557176,-0.007739210353463366,7.377688522933826,0.3130683820248504,0.0895521208732053,0.0,0.4739547845907509,0.12625140445887456,1.9880977985449133,0.05429819683212119,0.0,0.0,6.641935788094997,7.066112246364355,0.0
mid_10_500_pm05,4,0.0,0.0888416536042607,0.1866479168565133,0.0010811507008969161,0.035826696218241416,2.6617356093787343,0.6263205831470048,0.08256304913571821,0.0,0.4297222340013832,0.07399042465327417,0.9596110021695494,0.05971325527585426,0.0,0.0,6.7526338417083025,6.014754261821508,0.6666666666666666
mid_10_500_pm05,5,0.0,0.004786012734264782,0.06464838374240008,-0.01049710433651796,0.018268067895617166,10.894366400754828,0.15862927716726102,0.0871920826802902,0.0013558201058201057,0.33851643251255153,0.1086693592718623,3.1897098447196184,0.3086354562317898,0.0,0.0,5.948944328352809,8.995663616806269,0.3333333333333333
mid_10_500_pm05,6,0.0,0.0025082477831667913,0.13113210490559304,-0.006664897660995932,0.0793871142049364,1.6625703582062645,0.4568508800715962,0.07537762030932754,0.0,0.26017017518170177,0.05134244715815572,1.5701149377971886,0.09004206634989749,0.0,0.0,5.327372508123517,9.446526240557432,1.0
mid_10_500_pm05,7,0.0,0.023578954505333826,0.056865860479148454,-0.007308716615764242,0.0026039615755024358,11.900159250619962,0.2069914649830459,0.09072892250359847,0.0006448412698412698,0.5189632458612323,0.14173484430130676,2.6396558784879742,0.24026498540649346,0.0,0.0,6.381045354530215,7.5602214224636555,0.3333333333333333
mid_10_500_pm05,8,0.0,0.0007499727312448723,0.13795011921197817,0.00687517170677015,0.03934351394447929,10.508361125008962,0.3370113296069328,0.09178755507960039,0.0008680555555555556,0.5429987514391541,0.0908949718560533,1.7832809483632444,0.3434580128320882,0.0,0.0,5.106034874916077,7.25593788921833,0.6666666666666666
mid_10_500_pm05,9,0.0,0.12209270018152672,0.03894991165980218,-0.02575187934478916,-0.003948965175318003,6.16589257228291,0.16478853752260836,0.08244277021965343,0.0,0.2794193979818374,0.11247361782150526,2.363638641964644,0.07404461442143061,0.0,0.0,6.161735858768225,9.736816741526127,0.0
mid_10_500_pm05,10,0.0,0.03290385117556432,0.1759883861446858,0.005906695828623632,0.08999377430773786,4.142596405171038,0.41776707999213764,0.08109057215048796,0.0,0.3625080660916865,0.06764801759317249,0.7429548297077417,0.20035325948005495,0.0,0.0,6.532335862517357,8.18768697977066,1.0
mid_10_500_pm05,11,0.0,0.20487175139615363,0.029854355247930498,-0.022995857203080738,-0.017636954239474676,13.290833898125657,0.11737902040681647,0.0842076725588116,0.009242724867724867,0.44892983785830437,0.16052532682332163,3.4627530478872357,0.07885649045392289,0.0,0.0,5.726649682968855,6.80141269415617,0.0
mid_10_500_pm05,12,0.0,0.00023732003764296964,0.12268829707758643,-9.023077229150797e-05,0.03181476503243058,4.8269046538302876,0.4730890204459986,0.08768748258217446,0.0,0.4923040994442999,0.058192795367834484,2.7833451868966224,0.12400714098807515,0.0,0.0,5.871044954285026,7.867236487567425,0.3333333333333333
mid_10_500_pm05,13,0.0,0.038234053865352426,0.052831719859833315,-0.012009844308935836,0.008441064369852395,8.940142898335225,0.2005346518247891,0.08639906289104367,4.1335978835978834e-05,0.40714115924201905,0.13817022066062615,2.2030887483619153,0.17427275627479324,0.0,0.0,6.924779066815972,9.137299835681915,0.3333333333333333
mid_10_500_pm05,14,0.0,0.11571369753694931,0.04002298036504807,-0.027066590763419367,-0.018022936315136084,6.229577596861074,0.18813814447509944,0.08397574861454488,0.0,0.32279211450368167,0.07661639507355214,3.8808486580848696,0.04331132886477592,0.0,0.0,6.303207313641906,8.685704328119755,0.0
mid_10_500_pm05,15,0.0,0.0008819996136698339,0.15615574952484718,0.00833066926714634,0.03770805926030661,14.872512413296002,0.33240730901976284,0.09824755019783526,0.001033399470899471,0.587633389653638,0.09498007898119205,1.161150908190757,0.4250485536070801,0.0,0.0,5.4994565192610025,6.322989538311958,0.6666666666666666
