parameter_class,variant,parameter,metric,spearman,pvalue,sample_count
readout,M2,cap_level,accepted,,,32
readout,M2,cap_sharpness,accepted,,,32
readout,M2,cluster_loading,accepted,,,32
readout,M2,feedback_curvature,accepted,,,32
readout,M2,feedback_shift,accepted,,,32
readout,M2,spike_curvature,accepted,,,32
readout,M2,cap_level,distance,0.06011730205278592,0.7437885890144961,32
readout,M2,cap_sharpness,distance,0.35337243401759527,0.04725828316502822,32
readout,M2,cluster_loading,distance,-0.5876099706744868,0.0004060492690071306,32
readout,M2,feedback_curvature,distance,0.7258064516129031,2.5894103631503557e-06,32
readout,M2,feedback_shift,distance,0.11876832844574779,0.5173585428017891,32
readout,M2,spike_curvature,distance,0.093841642228739,0.6094505407693276,32
readout,M2,cap_level,excess_kurtosis,0.11693548387096771,0.5238893608788574,32
readout,M2,cap_sharpness,excess_kurtosis,0.3291788856304985,0.065814947348937,32
readout,M2,cluster_loading,excess_kurtosis,0.16678885630498533,0.3615708594314169,32
readout,M2,feedback_curvature,excess_kurtosis,0.6513929618768328,5.393230905027556e-05,32
readout,M2,feedback_shift,excess_kurtosis,0.07881231671554251,0.6680978470331627,32
readout,M2,spike_curvature,excess_kurtosis,0.6143695014662756,0.00018356046184032408,32
readout,M2,cap_level,leverage_rank,0.10813782991202345,0.5557848437381286,32
readout,M2,cap_sharpness,leverage_rank,-0.26796187683284456,0.13813187764001741,32
readout,M2,cluster_loading,leverage_rank,0.6495601173020527,5.7523684470262076e-05,32
readout,M2,feedback_curvature,leverage_rank,-0.5153958944281525,0.0025375949153890105,32
readout,M2,feedback_shift,leverage_rank,-0.3936950146627565,0.025789215281250878,32
readout,M2,spike_curvature,leverage_rank,0.25329912023460405,0.16187255912687307,32
readout,M2,cap_level,rough_hurst,-0.03189149560117301,0.8624378009547493,32
readout,M2,cap_sharpness,rough_hurst,-0.3405425219941349,0.05649426814876179,32
readout,M2,cluster_loading,rough_hurst,0.593841642228739,0.00033961177353959596,32
readout,M2,feedback_curvature,rough_hurst,-0.7382697947214076,1.4138456504327495e-06,32
readout,M2,feedback_shift,rough_hurst,-0.1004398826979472,0.5844097997151299,32
readout,M2,spike_curvature,rough_hurst,-0.11217008797653959,0.5410550025273458,32
readout,M2,cap_level,zumbach_rank,-0.05388563049853372,0.7695922440275014,32
readout,M2,cap_sharpness,zumbach_rank,-0.33687683284457476,0.05937933628543452,32
readout,M2,cluster_loading,zumbach_rank,-0.26796187683284456,0.13813187764001741,32
readout,M2,feedback_curvature,zumbach_rank,-0.4904692082111436,0.004373253014967612,32
readout,M2,feedback_shift,zumbach_rank,-0.5887096774193548,0.0003935497903806718,32
readout,M2,spike_curvature,zumbach_rank,0.39222873900293254,0.026396336554615395,32
readout,M2+O,cap_level,accepted,,,32
readout,M2+O,cap_sharpness,accepted,,,32
readout,M2+O,cluster_loading,accepted,,,32
readout,M2+O,feedback_curvature,accepted,,,32
readout,M2+O,feedback_shift,accepted,,,32
readout,M2+O,orthogonal_curvature,accepted,,,32
readout,M2+O,spike_curvature,accepted,,,32
readout,M2+O,cap_level,distance,0.12646627565982405,0.49037307554095183,32
readout,M2+O,cap_sharpness,distance,0.3537390029325513,0.0470132982254626,32
readout,M2+O,cluster_loading,distance,-0.46847507331378296,0.0068452448913011,32
readout,M2+O,feedback_curvature,distance,0.7023460410557184,7.440110124965978e-06,32
readout,M2+O,feedback_shift,distance,0.15249266862170086,0.4047333782107337,32
readout,M2+O,orthogonal_curvature,distance,-0.15505865102639294,0.3967785455891878,32
readout,M2+O,spike_curvature,distance,0.16458944281524926,0.36802647249338505,32
readout,M2+O,cap_level,excess_kurtosis,0.10557184750733135,0.5652540068582359,32
readout,M2+O,cap_sharpness,excess_kurtosis,0.3519061583577712,0.0482484260710533,32
readout,M2+O,cluster_loading,excess_kurtosis,0.18255131964809382,0.3173026817469028,32
readout,M2+O,feedback_curvature,excess_kurtosis,0.6451612903225806,6.703390145692447e-05,32
readout,M2+O,feedback_shift,excess_kurtosis,0.10117302052785922,0.581655788252176,32
readout,M2+O,orthogonal_curvature,excess_kurtosis,0.2313049853372434,0.20274938709642523,32
readout,M2+O,spike_curvature,excess_kurtosis,0.595674486803519,0.0003220012870393604,32
readout,M2+O,cap_level,leverage_rank,0.09310850439882698,0.612260555418336,32
readout,M2+O,cap_sharpness,leverage_rank,-0.23863636363636362,0.1884021250991851,32
readout,M2+O,cluster_loading,leverage_rank,0.6422287390029325,7.413394772987173e-05,32
readout,M2+O,feedback_curvature,leverage_rank,-0.5032991202346041,0.003321472893965969,32
readout,M2+O,feedback_shift,leverage_rank,-0.3273460410557184,0.06742478172202604,32
readout,M2+O,orthogonal_curvature,leverage_rank,0.05425219941348973,0.7680673598588205,32
readout,M2+O,spike_curvature,leverage_rank,0.2719941348973607,0.13207442738921268,32
readout,M2+O,cap_level,rough_hurst,-0.08321114369501466,0.6507127872900171,32
readout,M2+O,cap_sharpness,rough_hurst,-0.3405425219941349,0.05649426814876179,32
readout,M2+O,cluster_loading,rough_hurst,0.49816715542521983,0.0037125028515206087,32
readout,M2+O,feedback_curvature,rough_hurst,-0.7250733137829911,2.680528718498525e-06,32
readout,M2+O,feedback_shift,rough_hurst,-0.1312316715542522,0.4740356060172301,32
readout,M2+O,orthogonal_curvature,rough_hurst,0.11033724340175952,0.5477273878863214,32
readout,M2+O,spike_curvature,rough_hurst,-0.18328445747800584,0.31532956825695757,32
readout,M2+O,cap_level,zumbach_rank,-0.04655425219941349,0.8002604705709333,32
readout,M2+O,cap_sharpness,zumbach_rank,-0.35923753665689145,0.04345867847508896,32
readout,M2+O,cluster_loading,zumbach_rank,-0.24926686217008792,0.16888489223347683,32
readout,M2+O,feedback_curvature,zumbach_rank,-0.4930351906158357,0.004142589595555595,32
readout,M2+O,feedback_shift,zumbach_rank,-0.5898093841642228,0.0003813923081908655,32
readout,M2+O,orthogonal_curvature,zumbach_rank,-0.05865102639296187,0.7498366693306187,32
readout,M2+O,spike_curvature,zumbach_rank,0.3936950146627565,0.025789215281250878,32
readout,M3,cap_level,accepted,,,32
readout,M3,cap_sharpness,accepted,,,32
readout,M3,cluster_loading,accepted,,,32
readout,M3,echo_loading,accepted,,,32
readout,M3,feedback_curvature,accepted,,,32
readout,M3,feedback_shift,accepted,,,32
readout,M3,spike_curvature,accepted,,,32
readout,M3,cap_level,distance,0.1220674486803519,0.5057047621435788,32
readout,M3,cap_sharpness,distance,0.33321114369501464,0.062379150140555936,32
readout,M3,cluster_loading,distance,-0.5498533724340174,0.0011141525509187973,32
readout,M3,echo_loading,distance,-0.13563049853372433,0.4592108007648419,32
readout,M3,feedback_curvature,distance,0.7111436950146627,5.068736156440825e-06,32
readout,M3,feedback_shift,distance,0.09970674486803517,0.5871695532814148,32
readout,M3,spike_curvature,distance,0.09677419354838708,0.5982653668660818,32
readout,M3,cap_level,excess_kurtosis,0.10263929618768328,0.576165114195206,32
readout,M3,cap_sharpness,excess_kurtosis,0.32587976539589436,0.06873464670948459,32
readout,M3,cluster_loading,excess_kurtosis,0.14626099706744866,0.4244246448158269,32
readout,M3,echo_loading,excess_kurtosis,0.1444281524926686,0.4303156329534407,32
readout,M3,feedback_curvature,excess_kurtosis,0.6601906158357771,3.9340596441679154e-05,32
readout,M3,feedback_shift,excess_kurtosis,0.06634897360703812,0.7182551434573793,32
readout,M3,spike_curvature,excess_kurtosis,0.6154692082111436,0.00017739438201384486,32
readout,M3,cap_level,leverage_rank,0.08614369501466275,0.639221434672425,32
readout,M3,cap_sharpness,leverage_rank,-0.2489002932551319,0.16953293152018675,32
readout,M3,cluster_loading,leverage_rank,0.6697214076246334,2.7626971038781616e-05,32
readout,M3,echo_loading,leverage_rank,0.10703812316715541,0.5598340484356554,32
readout,M3,feedback_curvature,leverage_rank,-0.5109970674486803,0.0028017238393321293,32
readout,M3,feedback_shift,leverage_rank,-0.376099706744868,0.033880909874700216,32
readout,M3,spike_curvature,leverage_rank,0.2287390029325513,0.20794473056304572,32
readout,M3,cap_level,rough_hurst,-0.09860703812316715,0.5913198823780661,32
readout,M3,cap_sharpness,rough_hurst,-0.3225806451612903,0.0717543533989231,32
readout,M3,cluster_loading,rough_hurst,0.5612170087976538,0.0008326752049209887,32
readout,M3,echo_loading,rough_hurst,0.12756598240469205,0.48657758698256853,32
readout,M3,feedback_curvature,rough_hurst,-0.7298387096774193,2.1366762502739976e-06,32
readout,M3,feedback_shift,rough_hurst,-0.06195014662756597,0.7362495692214795,32
readout,M3,spike_curvature,rough_hurst,-0.11473607038123164,0.5317789173740624,32
readout,M3,cap_level,zumbach_rank,-0.05828445747800586,0.751350988580709,32
