seed,architecture,candidate_id,accepted,distance,cluster_loading,feedback_curvature,feedback_shift,spike_curvature,orthogonal_curvature,echo_loading,cap_level,cap_sharpness,mean_volatility,q995_volatility,excess_kurtosis,absolute_return_tail_ratio,hill_tail_index,hill_threshold_instability,rough_hurst,zumbach,zumbach_rank,max_abs_return_acf,leverage,leverage_rank,mean_log_variance_acf,taylor_gap,taylor_fraction,p_cap_exceedance_fraction
196613,slow_5_250_pm05,0,False,0.0007679558453931628,0.5617217980790883,0.06091085706892557,3.6096060039475555,0.14691973020075133,0.0,0.0,6.0213210470974445,6.610366810113192,0.15451803885746973,0.5123753588324189,6.972884591454914,3.572867894802836,3.2552349180304194,0.5882012835401362,0.1061503418240775,0.11312769296358678,0.04284939032978766,0.08777574271090535,-0.020185451068780794,0.008405513628041929,0.4239383782301437,0.05497424368111385,0.909375,0.0
196613,slow_5_250_pm05,1,False,0.07916764316279529,0.3044042682275176,0.1678397289298154,1.3792040108703076,0.10764987002755068,0.0,0.0,5.215695656836033,8.380460690706968,0.15864139517565484,0.5168974658543402,6.793877690575053,3.4486654607556235,3.3413717440493107,0.7232232082616895,0.0446769293011562,0.11951086748604269,0.05038697298555758,0.08593089072778283,-0.03511942402033501,-0.013258002479007307,0.18933310344493892,0.020938736234657515,0.771875,4.96031746031746e-05
196613,slow_5_250_pm05,2,False,0.0008149775677283178,0.3812765271868557,0.08601246111365926,3.0579395294189453,0.4688762135101204,0.0,0.0,5.586295608431101,9.928857538849115,0.12158862798626795,0.7337358659168133,20.913792003082882,4.135014291969723,2.4324882743380414,0.4775941270674607,0.13522083607467172,0.23390021450792103,0.044948747421482915,0.09910854502089442,0.013130269484493785,0.008900304680577127,0.3253005940143823,0.07396399046311329,0.940625,0.00496031746031746
196613,slow_5_250_pm05,3,False,0.018024504209261306,0.4739547845907509,0.12625140445887456,1.9880977985449133,0.05429819683212119,0.0,0.0,6.641935788094997,7.066112246364355,0.15816204622099161,0.5210182263000502,7.316299962516416,3.5069358555152252,3.277865031534686,0.6533933719613213,0.05791723353579086,0.034439116908217465,0.02019405172076093,0.09272472357464842,-0.033257315747164645,-0.0075239094415173145,0.30398241402756376,0.039220945383489386,0.890625,0.0
196613,slow_5_250_pm05,4,False,0.12686457856885322,0.4297222340013832,0.07399042465327417,0.9596110021695494,0.05971325527585426,0.0,0.0,6.7526338417083025,6.014754261821508,0.18023562611878619,0.4104977906450931,2.6803354289519126,3.1510692842191497,3.9678971216575603,0.6187033023232246,0.19193903870318396,0.07249295066462524,0.047117851437241724,0.07642934362516138,-0.0056840777839054675,0.008595694707234081,0.6255265957213527,0.026662480781458973,0.80625,0.0
196613,slow_5_250_pm05,5,False,6.716493087175752e-05,0.33851643251255153,0.1086693592718623,3.1897098447196184,0.3086354562317898,0.0,0.0,5.948944328352809,8.995663616806269,0.13024785660566482,0.5764493227627958,12.173567459850977,3.8880711079626122,2.7818247175755695,0.5888038241751667,0.07489009131574217,0.203492397094319,0.048376562828586385,0.09507602961153867,-0.020065058267188667,-0.0031483105691893654,0.21736726268922085,0.03965107382462642,0.8656250000000001,0.002058531746031746
196613,slow_5_250_pm05,6,False,0.002623548335514623,0.26017017518170177,0.05134244715815572,1.5701149377971886,0.09004206634989749,0.0,0.0,5.327372508123517,9.446526240557432,0.18593942146912568,0.3863395582570152,1.6728822320053927,2.948480814518974,4.300686385178125,0.6525171535857214,0.14346791552723995,0.1904752996183156,0.09529548321275995,0.07135878312089561,-0.012361797328625149,0.0005293026054088955,0.47476840635062245,0.006431719068149003,0.65625,0.0
196613,slow_5_250_pm05,7,False,0.012228994202118273,0.5189632458612323,0.14173484430130676,2.6396558784879742,0.24026498540649346,0.0,0.0,6.381045354530215,7.5602214224636555,0.12902280086193343,0.5717256526598367,12.781036951504124,3.8455043004494183,2.835423849911686,0.6761707885639492,0.06010619711847452,0.1396229480742754,0.03816739048450085,0.09792044738799081,-0.023252982188099625,-0.0008925974888191631,0.23079504715667556,0.044217508732123254,0.86875,0.0006944444444444445
196613,slow_5_250_pm05,8,False,0.007366616708636965,0.5429987514391541,0.0908949718560533,1.7832809483632444,0.3434580128320882,0.0,0.0,5.106034874916077,7.25593788921833,0.136341315582505,0.6394598513979632,12.996777146348215,3.881635662093796,2.7688421531017244,0.543045999086378,0.16684120213937828,0.24040759939969641,0.05412707328021149,0.0993125255296694,0.021297689745074594,0.015595387084242369,0.41315670346298355,0.07389561660853863,0.96875,0.001314484126984127
196613,slow_5_250_pm05,9,False,0.12114908027020123,0.2794193979818374,0.11247361782150526,2.363638641964644,0.07404461442143061,0.0,0.0,6.161735858768225,9.736816741526127,0.16197111508273565,0.5067303384528346,6.247303043483713,3.422827295120538,3.39079882853158,0.6591127509793787,0.03867417119709952,0.07944799959398019,0.0299932247355831,0.08419362921973297,-0.04135089689042701,-0.022916728109651598,0.1668418432251208,0.01822826971387416,0.7406250000000001,0.0
