seed,variant,criterion,pass_rate
196613,M2,max_abs_return_acf,1.0
196613,M2,mean_log_variance_acf,0.5234375
196613,M2,rough_hurst,0.078125
196613,M2,leverage_rank,0.1796875
196613,M2,zumbach_rank,0.875
196613,M2,excess_kurtosis,0.90625
196613,M2,taylor_gap,1.0
196613,M3,max_abs_return_acf,1.0
196613,M3,mean_log_variance_acf,0.5390625
196613,M3,rough_hurst,0.078125
196613,M3,leverage_rank,0.1875
196613,M3,zumbach_rank,0.8046875
196613,M3,excess_kurtosis,0.890625
196613,M3,taylor_gap,1.0
196613,M2+O,max_abs_return_acf,1.0
196613,M2+O,mean_log_variance_acf,0.53125
196613,M2+O,rough_hurst,0.1640625
196613,M2+O,leverage_rank,0.1484375
196613,M2+O,zumbach_rank,0.5859375
196613,M2+O,excess_kurtosis,0.90625
196613,M2+O,taylor_gap,1.0
196613,M4,max_abs_return_acf,1.0
196613,M4,mean_log_variance_acf,0.546875
196613,M4,rough_hurst,0.1484375
196613,M4,leverage_rank,0.1484375
196613,M4,zumbach_rank,0.5078125
196613,M4,excess_kurtosis,0.90625
196613,M4,taylor_gap,1.0
221251,M2,max_abs_return_acf,1.0
221251,M2,mean_log_variance_acf,0.5546875
221251,M2,rough_hurst,0.1015625
221251,M2,leverage_rank,0.625
221251,M2,zumbach_rank,0.2734375
221251,M2,excess_kurtosis,0.890625
221251,M2,taylor_gap,1.0
221251,M3,max_abs_return_acf,1.0
221251,M3,mean_log_variance_acf,0.5625
221251,M3,rough_hurst,0.125
221251,M3,leverage_rank,0.640625
221251,M3,zumbach_rank,0.3125
221251,M3,excess_kurtosis,0.890625
221251,M3,taylor_gap,1.0
221251,M2+O,max_abs_return_acf,1.0
221251,M2+O,mean_log_variance_acf,0.640625
221251,M2+O,rough_hurst,0.1875
221251,M2+O,leverage_rank,0.5
221251,M2+O,zumbach_rank,0.4296875
221251,M2+O,excess_kurtosis,0.90625
221251,M2+O,taylor_gap,1.0
221251,M4,max_abs_return_acf,1.0
221251,M4,mean_log_variance_acf,0.6484375
221251,M4,rough_hurst,0.203125
221251,M4,leverage_rank,0.484375
221251,M4,zumbach_rank,0.4296875
221251,M4,excess_kurtosis,0.9140625
221251,M4,taylor_gap,1.0
262147,M2,max_abs_return_acf,1.0
262147,M2,mean_log_variance_acf,0.515625
262147,M2,rough_hurst,0.0703125
262147,M2,leverage_rank,0.203125
262147,M2,zumbach_rank,0.4609375
262147,M2,excess_kurtosis,0.9140625
262147,M2,taylor_gap,1.0
262147,M3,max_abs_return_acf,1.0
262147,M3,mean_log_variance_acf,0.515625
262147,M3,rough_hurst,0.0703125
262147,M3,leverage_rank,0.2265625
262147,M3,zumbach_rank,0.3984375
262147,M3,excess_kurtosis,0.921875
262147,M3,taylor_gap,1.0
262147,M2+O,max_abs_return_acf,1.0
262147,M2+O,mean_log_variance_acf,0.53125
262147,M2+O,rough_hurst,0.1875
262147,M2+O,leverage_rank,0.140625
262147,M2+O,zumbach_rank,0.515625
262147,M2+O,excess_kurtosis,0.921875
262147,M2+O,taylor_gap,1.0
262147,M4,max_abs_return_acf,1.0
262147,M4,mean_log_variance_acf,0.53125
262147,M4,rough_hurst,0.171875
262147,M4,leverage_rank,0.1171875
262147,M4,zumbach_rank,0.4453125
262147,M4,excess_kurtosis,0.9296875
262147,M4,taylor_gap,1.0
294001,M2,max_abs_return_acf,1.0
294001,M2,mean_log_variance_acf,0.578125
294001,M2,rough_hurst,0.09375
294001,M2,leverage_rank,0.4765625
294001,M2,zumbach_rank,0.3984375
294001,M2,excess_kurtosis,0.9296875
294001,M2,taylor_gap,1.0
294001,M3,max_abs_return_acf,1.0
294001,M3,mean_log_variance_acf,0.578125
294001,M3,rough_hurst,0.0703125
294001,M3,leverage_rank,0.46875
294001,M3,zumbach_rank,0.3671875
294001,M3,excess_kurtosis,0.921875
294001,M3,taylor_gap,1.0
294001,M2+O,max_abs_return_acf,1.0
294001,M2+O,mean_log_variance_acf,0.6328125
294001,M2+O,rough_hurst,0.171875
294001,M2+O,leverage_rank,0.453125
294001,M2+O,zumbach_rank,0.328125
294001,M2+O,excess_kurtosis,0.953125
294001,M2+O,taylor_gap,1.0
294001,M4,max_abs_return_acf,1.0
294001,M4,mean_log_variance_acf,0.6484375
294001,M4,rough_hurst,0.15625
294001,M4,leverage_rank,0.46875
294001,M4,zumbach_rank,0.2578125
294001,M4,excess_kurtosis,0.9453125
294001,M4,taylor_gap,1.0
324503,M2,max_abs_return_acf,1.0
324503,M2,mean_log_variance_acf,0.484375
324503,M2,rough_hurst,0.0625
324503,M2,leverage_rank,0.2265625
324503,M2,zumbach_rank,0.5078125
324503,M2,excess_kurtosis,0.890625
324503,M2,taylor_gap,1.0
324503,M3,max_abs_return_acf,1.0
324503,M3,mean_log_variance_acf,0.5
324503,M3,rough_hurst,0.0625
324503,M3,leverage_rank,0.25
324503,M3,zumbach_rank,0.5390625
324503,M3,excess_kurtosis,0.8828125
324503,M3,taylor_gap,1.0
324503,M2+O,max_abs_return_acf,1.0
324503,M2+O,mean_log_variance_acf,0.515625
324503,M2+O,rough_hurst,0.1796875
324503,M2+O,leverage_rank,0.2421875
324503,M2+O,zumbach_rank,0.453125
324503,M2+O,excess_kurtosis,0.90625
324503,M2+O,taylor_gap,1.0
324503,M4,max_abs_return_acf,1.0
324503,M4,mean_log_variance_acf,0.5234375
324503,M4,rough_hurst,0.15625
324503,M4,leverage_rank,0.2578125
324503,M4,zumbach_rank,0.4921875
324503,M4,excess_kurtosis,0.890625
324503,M4,taylor_gap,1.0
