seed,rhoJ,beta,qJ,rough_hurst,leverage_rank,zumbach_rank,excess_kurtosis,mean_log_variance_acf,max_abs_return_acf,cap
196613,0.7,0.8,0.05,0.10206662433914529,-0.0018210292095474025,0.013043112917219058,2.7803671146749007,0.4937181892952477,0.07823592425415894,0.0
196613,0.7,0.8,0.1,0.08456849031309205,-0.0005847877103522699,0.017182507148814384,3.3825627454514464,0.4289240390912824,0.07908406831890757,0.0
196613,0.7,0.8,0.2,0.06011885607957067,0.0007794716113553955,0.019948088527017797,5.294975807113021,0.2974641598987529,0.07929318021391989,0.0
196613,0.7,0.8,0.4,0.04190244963587716,0.0010025482358078873,0.013134333326979289,11.167178723281985,0.14870907236423608,0.07667732866780261,0.0006944444444444445
196613,0.7,0.8,0.8,0.035850965908397314,2.9938113227900767e-05,-0.001099740594150413,20.700416545884558,0.07486931646165798,0.07176829018518108,0.01351686507936508
196613,0.7,1.0,0.05,0.08909313674717258,-0.0047805769247178664,0.01064992502650475,3.078950489607738,0.45240015974394243,0.08000576894865402,0.0
196613,0.7,1.0,0.1,0.0762044635275696,-0.0030884093320973295,0.01523266884105615,3.685806366348398,0.39759601890069646,0.08088346883608105,0.0
196613,0.7,1.0,0.2,0.056636469296572706,-0.0010950379704471715,0.017970736645419486,5.521364020762597,0.2827788330869142,0.08060185027074504,2.48015873015873e-05
196613,0.7,1.0,0.4,0.04083422458695798,8.832361064358037e-05,0.012470111683057887,11.040943566413217,0.14585008567233426,0.07729180627236301,0.0006944444444444445
196613,0.7,1.0,0.8,0.03572985209381682,-0.0007743395497465172,-0.00030888043179081934,20.701907733992236,0.0746121558017808,0.07180916567985621,0.013988095238095239
196613,0.7,1.2,0.05,0.07798083368162144,-0.00765918176523286,0.008198626591857806,3.43164959896474,0.4112314269576697,0.08151022756111086,0.0
196613,0.7,1.2,0.1,0.06857753504738069,-0.0055525232283806,0.012603366506983805,4.038613262070614,0.365669064709728,0.08236663474007656,0.0
196613,0.7,1.2,0.2,0.053197248256748084,-0.0028478497524312375,0.016187744474300613,5.794960803435778,0.26711562333392913,0.08185323317111495,2.48015873015873e-05
196613,0.7,1.2,0.4,0.039753896391018055,-0.0008041697307439436,0.011720119844807232,10.95310258471623,0.14266587698524696,0.07772825249704873,0.000818452380952381
196613,0.7,1.2,0.8,0.03559617306417152,-0.0014497956289979362,1.3605097443899605e-05,20.66865166765988,0.07436079486632163,0.07183619656307363,0.014484126984126985
196613,0.85,0.8,0.05,0.09721443413309548,-0.0018157116457963775,0.017356307875072995,2.9190502049731832,0.48054628451203873,0.07917147823053511,0.0
