seed,candidate_id,accepted,distance,cluster_loading,feedback_curvature,feedback_shift,spike_curvature,mean_volatility,q995_volatility,excess_kurtosis,absolute_return_tail_ratio,hill_tail_index,hill_threshold_instability,rough_hurst,zumbach,zumbach_rank,max_abs_return_acf,leverage,leverage_rank,mean_log_variance_acf,taylor_gap,taylor_fraction,p_cap_exceedance_fraction
196613,0,True,0.0,0.24,0.073,3.0,0.22,0.15860448521899,0.5365981122083783,6.3746147906126716,3.5175794186760863,3.144507696936682,0.5119555186671416,0.079903003547102,0.21187460945232683,0.0837326987393529,0.08217246363308002,-0.029424355759468022,-0.008839945305585423,0.1961664430783594,0.01957101877388665,0.74375,0.00014880952380952382
196613,1,False,9.168105321766175e-06,0.24,0.073,3.0,0.26,0.15405986968156654,0.5566153776800356,7.376492285596951,3.62577770139869,3.030433352074015,0.5135419827250223,0.09022475775651709,0.2269791714678144,0.08435085580488072,0.08337959338696338,-0.02112036218048344,-0.006207490344938845,0.20011070812232043,0.02297557748129048,0.7875,0.0002728174603174603
196613,2,False,4.446332647313891e-05,0.24,0.073,3.0,0.3,0.14941866419039468,0.5829910675686141,8.594102841518954,3.6758532824155434,2.9388666542025166,0.5848962684295584,0.09905281903693332,0.235235495892878,0.08208895573596581,0.08463310780364014,-0.012992294451729097,-0.004052495060284008,0.20356242850504058,0.026768219463934897,0.796875,0.00047123015873015874
196613,3,False,9.174674648424003e-05,0.24,0.073,3.0,0.34,0.14482414921396386,0.6115119101635486,10.220979952056403,3.722240673556521,2.8897851601828197,0.6101520819648892,0.10610398708972715,0.2370537069652131,0.07770438487390172,0.0855534578780441,-0.006134863131100871,-0.0023295562995606155,0.206796577631684,0.03186536577823086,0.828125,0.0010168650793650794
196613,4,True,0.0,0.24,0.073,3.3,0.22,0.15620872235208227,0.5388059312309669,6.782446041451804,3.5426492615533425,3.1195661187000283,0.557427768647057,0.07308599325610353,0.20064859035397525,0.07711832359689212,0.0828410188695376,-0.033087013996270315,-0.010608794811137013,0.18388039216692897,0.019607563867624505,0.7562500000000001,0.0001984126984126984
196613,5,False,6.409357674921683e-08,0.24,0.073,3.3,0.26,0.15183484949585146,0.5553290959645205,7.727473773701016,3.6722836772523904,2.9995888721651935,0.5273652541146895,0.08309914831811352,0.21765997457372982,0.07899356617156239,0.08387205400905365,-0.025259540018160803,-0.007850125081211573,0.18960860137001462,0.02275230664771999,0.7749999999999999,0.0003224206349206349
196613,6,False,1.7622406504811154e-05,0.24,0.073,3.3,0.3,0.14740553513888835,0.5803011317496898,8.923963801799957,3.7455042735997193,2.9032732667529153,0.5458479421720238,0.09205694181565552,0.22816609406522717,0.077414506677952,0.08495368841305531,-0.01763621734098998,-0.005514840231835761,0.1946977557345434,0.02640098255288702,0.790625,0.0006200396825396825
196613,7,False,5.220461798368608e-05,0.24,0.073,3.3,0.34,0.14302279294318024,0.607531020390138,10.425710104048768,3.7972953554611406,2.8343266426617433,0.5902079503753281,0.09942344942504676,0.23189418982775628,0.07396609579525715,0.08560761465887363,-0.010747958158296786,-0.00372263641514606,0.19934137335093927,0.03111719392024161,0.8156249999999999,0.0014384920634920636
196613,8,False,0.0010109584899531847,0.24,0.073,3.6,0.22,0.15379794671326502,0.5416552728533941,7.219319781583274,3.619762936463727,3.10216316788948,0.5562832824122306,0.06713839839100186,0.18964048096346997,0.07060185888024989,0.08354122357453982,-0.03609804961298933,-0.012335549946252855,0.1724009318350887,0.019631886093628766,0.759375,0.0002728174603174603
196613,9,True,0.0,0.24,0.073,3.6,0.26,0.14961633156773002,0.55600443613708,8.162153999040818,3.6854560164752304,3.0157534556042593,0.6045076733275445,0.0767150699102256,0.2076428357701305,0.073264167711349,0.08459473894674042,-0.028961377766791058,-0.009414911022200868,0.17950597188556797,0.022641490357741177,0.7625,0.0003720238095238095
196613,10,False,2.7100315764157772e-06,0.24,0.073,3.6,0.3,0.14540978503801935,0.5780508302684826,9.296770085679825,3.798107981612066,2.8991902960026605,0.5657920564370769,0.08559450668375652,0.2202850708008277,0.0727784099257625,0.08556947401662693,-0.02196673340692823,-0.00702543932646706,0.1859275658808939,0.026163501995783996,0.796875,0.0010912698412698413
196613,11,False,2.3157852037947916e-05,0.24,0.073,3.6,0.34,0.14123331795152255,0.6041818535787445,10.653010223784367,3.828700807417204,2.8280476620040256,0.5843456625976566,0.09303085394443641,0.22527918904905972,0.06988375183886407,0.08565920414590375,-0.015032963511594902,-0.005151141727528837,0.19168818912128444,0.030273018012922155,0.8062499999999999,0.0018353174603174603
196613,12,False,0.007944872400770861,0.24,0.073,3.9,0.22,0.15140512347889465,0.544590394479924,7.706778067967322,3.655926231597636,3.043269152426209,0.5323288156171799,0.06197793876573833,0.17877108309851097,0.06408523310368668,0.08413921341305752,-0.0385231661070915,-0.0139217356266894,0.16181189791689377,0.01971467081156026,0.759375,0.00034722222222222224
196613,13,True,0.0,0.24,0.073,3.9,0.26,0.1474417978094823,0.5608108030730847,8.652154102122031,3.731725624891624,2.990655942633233,0.6224023472561581,0.07103838504946247,0.19778451319899223,0.067637194311983,0.08544630679034732,-0.03225034980387445,-0.010916639699467288,0.16991035573903923,0.022663202745942104,0.765625,0.000744047619047619
196613,14,True,0.0,0.24,0.073,3.9,0.3,0.14344457257918616,0.5795884043780621,9.666158982630064,3.822085860030593,2.8699672022998155,0.5786589258690251,0.07961422625336251,0.21131000044401985,0.06809626188743217,0.08586807519639367,-0.025887345248503085,-0.008537950637530541,0.17725437000489624,0.02582173258110388,0.784375,0.0017113095238095238
196613,15,False,5.773183794623186e-06,0.24,0.073,3.9,0.34,0.13949589327423179,0.6007224064043067,10.899185693432944,3.8792284980329614,2.786255154625187,0.5510758254366883,0.08693486028630353,0.2181461230600092,0.0663574389530123,0.08591901408092123,-0.019087946570519227,-0.006577574928019469,0.18388012741041132,0.029393328109375304,0.8,0.002455357142857143
