seed,architecture,beta,qJ,rough_hurst,leverage_rank,zumbach_rank,excess_kurtosis,mean_log_variance_acf,max_abs_return_acf,cap
196613,current_20_2000_p0,1.0,0.05,0.09916110796165839,-0.0014076333648150724,0.016187760202010508,3.4887293087015063,0.48308791669472795,0.08244493282013365,0.0
196613,current_20_2000_p0,1.0,0.1,0.07975812079565928,-0.00046602404322041184,0.027798817694260725,4.368366196014215,0.41443977864856807,0.08440068253877545,0.0
196613,current_20_2000_p0,1.0,0.2,0.054925425795844696,0.0007332925549727685,0.041275080401507555,6.477152414623394,0.28881834190492783,0.08535172243603864,7.440476190476191e-05
196613,current_20_2000_p0,1.0,0.4,0.03700385913408497,0.0008632932316200397,0.03991469950807422,11.98895872817937,0.14344365856037983,0.07857887329382779,0.0010664682539682539
196613,current_20_2000_p0,1.2,0.05,0.08774329051296756,-0.0038632298572906414,0.01370875173149305,3.8186592526632213,0.44605410189287087,0.0839915041164242,0.0
196613,current_20_2000_p0,1.2,0.1,0.07269869751357028,-0.0025732776683503123,0.02479548633617009,4.698103390479768,0.3862548744258677,0.08584702214961856,0.0
196613,current_20_2000_p0,1.2,0.2,0.05202476848997611,-0.0007460780832498036,0.03821645149481155,6.6942489125640705,0.27463224728494506,0.0865080186394363,9.92063492063492e-05
196613,current_20_2000_p0,1.2,0.4,0.03613850715595811,-5.67913226726276e-06,0.03936344054453671,11.938256966729782,0.14051163997601054,0.0798294410356819,0.0012896825396825397
196613,slow_5_250_p0,1.0,0.05,0.11572589349480425,0.0004994630102837863,0.032959364970893024,3.1629161113871924,0.5050375257925619,0.08047640353482881,0.0
196613,slow_5_250_p0,1.0,0.1,0.11091958895112633,0.0030650781531143716,0.05355593376439423,3.6625742545525273,0.4505572031159042,0.08052875059350457,0.0
196613,slow_5_250_p0,1.0,0.2,0.10714724744989268,0.005029903438080905,0.07317279044711128,5.554582933071577,0.33386869329478125,0.08402520456426876,4.96031746031746e-05
196613,slow_5_250_p0,1.0,0.4,0.10279062845640252,0.004153102809073878,0.06020199270038444,13.726501354245329,0.2141689747219011,0.09116872356314491,0.0007936507936507937
196613,slow_5_250_p0,1.2,0.05,0.1011078991923087,-0.0020470791164267847,0.029549028613876323,3.4843495365023864,0.46583872182847286,0.08229971053864123,0.0
196613,slow_5_250_p0,1.2,0.1,0.09905461596834146,0.0007842679943251599,0.04958247258610614,3.9676441338785637,0.41967485552225814,0.08239571993412133,0.0
196613,slow_5_250_p0,1.2,0.2,0.09963134851195213,0.0036355018535994773,0.06958309944023744,5.725045891016956,0.31905191637628494,0.08520129985408556,4.96031746031746e-05
