seed,template,beta,rough_hurst,leverage_rank,zumbach_rank,excess_kurtosis,mean_log_variance_acf,max_abs_return_acf,cap
196613,M2-near,0.5,0.09247032864216351,0.002232980379139643,0.024057177724390012,3.153366195539925,0.4667434681058119,0.07783159090412017,0.0
196613,M2-near,1.0,0.07014046472422478,-0.004965746648489167,0.018189573955548488,3.931728844512639,0.3819261415872214,0.08295942642364366,0.0
196613,M2-near,1.5,0.05343223530998055,-0.01117051915614721,0.009403533919798002,5.059698843303529,0.2977422866411708,0.08605260231766962,0.0
196613,M2-near,2.0,0.04294413754144706,-0.016026033908282368,0.00021635616911531638,6.342186581944581,0.23238068155980857,0.08789295438999745,2.48015873015873e-05
196613,M2-near,2.5,0.03641663260718665,-0.01933871692518615,-0.006370425685314849,7.668100605820502,0.18568905727770846,0.08936953084907574,0.0002232142857142857
196613,M2-near,3.0,0.032303420164599916,-0.021412563950365466,-0.011755122171710364,9.004552565213089,0.15308862374779722,0.09002828611282329,0.0007688492063492063
196613,M2O-near,0.5,0.08991774978177645,0.002465532957173713,0.0143686610883815,7.886295490409223,0.313775468946689,0.08942371002437122,0.0001240079365079365
196613,M2O-near,1.0,0.07657447212006918,-0.0013916599980736489,0.0072451519735009405,8.513236641715999,0.2816384954357445,0.09018330475499839,0.00017361111111111112
196613,M2O-near,1.5,0.06343033573514756,-0.005245384532892324,-0.0010875375827062005,9.59242860993396,0.24259047170981515,0.09023843517040736,0.0005952380952380953
196613,M2O-near,2.0,0.05299324203179934,-0.008812799636136218,-0.01102741085726533,10.91563964997458,0.20585455346068565,0.09048640026893773,0.0013640873015873015
196613,M2O-near,2.5,0.045753056207223294,-0.012070630348247603,-0.020146838594394673,12.539262963223688,0.17594747952799508,0.09112867870703847,0.0038938492063492064
196613,M2O-near,3.0,0.04156966428094683,-0.015160695099544626,-0.0285711705383307,13.013676316429434,0.1552248185633323,0.09170139060427678,0.009499007936507936
221251,M2-near,0.5,0.09980309270935914,-0.0062593714613085084,0.01261783512051685,3.268801438730354,0.5031070548591199,0.08366316422384779,0.0
221251,M2-near,1.0,0.07696189720777485,-0.01317925312034418,-0.009092113810465494,4.07141107190238,0.41445220200641597,0.08565083578702143,0.0
221251,M2-near,1.5,0.05962952417968167,-0.01897489462751085,-0.02896745520401081,5.291885830554834,0.3235402375651648,0.08721837245474884,0.0
221251,M2-near,2.0,0.04858545654233054,-0.02313417252836481,-0.04357050425314928,6.654686813184763,0.2506504311233101,0.08853094572333359,0.0
221251,M2-near,2.5,0.041562720645647595,-0.02600327362000459,-0.04976606204236441,7.989997092915807,0.1973153000470438,0.08816138505930732,7.440476190476191e-05
221251,M2-near,3.0,0.03693598511602295,-0.02767212228201605,-0.0516413142898864,9.24695278832114,0.15944296535209163,0.08715825786657684,0.0005952380952380953
221251,M2O-near,0.5,0.10466746589173787,-0.0013598940760853571,0.03752435567550175,8.30511481594689,0.3559517872213508,0.08689219015470276,4.96031746031746e-05
221251,M2O-near,1.0,0.09041924809348946,-0.004616108465266089,0.0177272132188009,8.288719425078433,0.3159428548603991,0.0885114977198915,9.92063492063492e-05
221251,M2O-near,1.5,0.07538343208528266,-0.00824945775326293,-0.004552960141322785,8.934524388181606,0.2674894976458513,0.08995042789899019,0.000496031746031746
221251,M2O-near,2.0,0.06319137048447449,-0.012184291476222686,-0.02303015973542678,10.04858705955168,0.2221109862913565,0.09023443113638895,0.0013640873015873015
221251,M2O-near,2.5,0.054595352883980194,-0.015378490768374812,-0.037804517230452195,11.307890091339917,0.18645073224430558,0.09038411349848821,0.0037450396825396827
221251,M2O-near,3.0,0.04916585245718064,-0.0182139433475157,-0.04341542043179709,11.970733541371697,0.16207378105366194,0.09122104157006998,0.01046626984126984
262147,M2-near,0.5,0.09501349037850516,-0.002634452840356071,0.017104097212808592,3.422982883609042,0.4697077276685877,0.07973678589827972,0.0
262147,M2-near,1.0,0.07283763944466641,-0.009226864177626165,0.0007334635352650052,4.265602645807939,0.3908695991534573,0.0778517482909091,0.0
262147,M2-near,1.5,0.055690214595031165,-0.014989735747587923,-0.014887669051643232,5.412191137222694,0.30808322578298547,0.07593611630170144,0.0
262147,M2-near,2.0,0.044792396737717954,-0.018933133465993825,-0.024181536772142555,6.656999251213318,0.2419642545981232,0.07431867704143,9.92063492063492e-05
262147,M2-near,2.5,0.03796748741166893,-0.021538808422809468,-0.02750843168003372,7.80851967198279,0.19383031112895305,0.07353152111857701,0.00017361111111111112
262147,M2-near,3.0,0.03355393537990184,-0.022990542045758837,-0.026282137560722823,8.926057019075945,0.1595209601166964,0.07344915186258542,0.0007688492063492063
262147,M2O-near,0.5,0.10922337142466639,0.0030441006019277356,0.03181297611128964,9.110313387969885,0.32732684032895537,0.09348292830435659,9.92063492063492e-05
262147,M2O-near,1.0,0.09397311251179957,-0.0008038365894304112,0.015909721002609366,9.34461736930539,0.29656351268289477,0.09301846877605394,0.0002232142857142857
262147,M2O-near,1.5,0.07747223794385516,-0.004184901869713594,0.001403963173349598,10.051153758907006,0.25585711657524063,0.08933171193234693,0.00042162698412698415
262147,M2O-near,2.0,0.06373681988952425,-0.007359100231841254,-0.006713791360234221,11.037919401954014,0.21544062592021485,0.08393318348232566,0.0013640873015873015
262147,M2O-near,2.5,0.05370173149724307,-0.010545218544972989,-0.011002158791530306,12.387379986048451,0.1814874806089698,0.07888759965196226,0.003695436507936508
262147,M2O-near,3.0,0.04704082830424547,-0.013724461280359632,-0.01110686445793291,13.200658602993496,0.15672080537383376,0.07697740246433363,0.00927579365079365
294001,M2-near,0.5,0.09557385490213874,-0.007634622358098581,0.016842535200058947,3.56453429858979,0.5299419508071808,0.07850521036455489,0.0
294001,M2-near,1.0,0.07482273761934541,-0.013562066540102967,0.0009437458416495432,4.381350572849099,0.4471666523370849,0.07558029970188679,0.0
294001,M2-near,1.5,0.05750937090534189,-0.018223823262729116,-0.011834499771072883,5.664541593235075,0.3578307743146162,0.0737019073563929,0.0
294001,M2-near,2.0,0.04594151014079733,-0.021542161582760566,-0.019564132952190057,7.152505021546436,0.28365555584257474,0.07408923670006728,2.48015873015873e-05
294001,M2-near,2.5,0.03844666455658352,-0.023792671745930475,-0.022622893000435632,8.633900102233085,0.22776381057914832,0.07414978922782497,0.0001984126984126984
294001,M2-near,3.0,0.03355203683129686,-0.02524721690492176,-0.022365912531338634,9.99653823437068,0.18721528052989528,0.07361856358285904,0.0007688492063492063
294001,M2O-near,0.5,0.09787693312799513,-0.003766161483725978,0.011350863017124239,10.25365497828535,0.3501372544149961,0.0852737063008938,0.0001240079365079365
294001,M2O-near,1.0,0.08545712174254876,-0.006725663160135816,-0.0025062820082181097,10.35219175697658,0.31596894159159955,0.08335469908656434,0.000248015873015873
294001,M2O-near,1.5,0.07129941161747476,-0.010229337146602277,-0.011267116930043742,10.902656640976833,0.2717000131251985,0.08114972784948231,0.0005952380952380953
294001,M2O-near,2.0,0.05921740206562149,-0.014070112817340767,-0.015551221741334489,11.680767864483604,0.22876136245390355,0.07941537653434197,0.0011656746031746032
294001,M2O-near,2.5,0.05048655895560679,-0.017295736328546488,-0.01716976624855803,12.580971778547728,0.19376044975744433,0.07783268085149006,0.0031001984126984125
294001,M2O-near,3.0,0.045286737676132956,-0.019645389861153544,-0.014273151008712922,12.981138115049628,0.16971639684929027,0.07618255311128211,0.008754960317460318
324503,M2-near,0.5,0.09554043516492895,-0.00031987051561999536,0.016653549553437504,3.0854937155947137,0.44156280305737966,0.0820988673600348,0.0
324503,M2-near,1.0,0.0719958377381672,-0.008906956862415999,-0.005608243657762378,3.5140204911403417,0.36171371353645365,0.08184552328860464,0.0
324503,M2-near,1.5,0.05341985640936864,-0.016074703929997092,-0.024671535696081298,4.451908617571982,0.27807015160352166,0.07913991168368191,0.0
324503,M2-near,2.0,0.04179295992163884,-0.020946133455429436,-0.03700308499659575,5.66521569657931,0.2125131785577003,0.07758481939922364,4.96031746031746e-05
324503,M2-near,2.5,0.03472744445092126,-0.024110078779574613,-0.04177198805894976,6.958853597564982,0.1659423873277426,0.0784358157295367,0.00017361111111111112
324503,M2-near,3.0,0.03032250474754639,-0.025978985525922673,-0.04138873862289201,8.220122044020432,0.1336350520434215,0.07861753147028401,0.0006200396825396825
324503,M2O-near,0.5,0.09872558840550782,-0.00347129457464659,0.02509006202067559,8.220314422537205,0.29865906536978243,0.08836832015846009,4.96031746031746e-05
324503,M2O-near,1.0,0.08559638107090073,-0.008152797916258869,0.0033332313783330392,8.138293307705105,0.26925646204115106,0.08818311714210961,0.0001240079365079365
324503,M2O-near,1.5,0.0706640427540907,-0.011691116416357982,-0.01881892732828455,8.645308421076315,0.23034758092919716,0.08598616466688466,0.00047123015873015874
324503,M2O-near,2.0,0.05821788561910961,-0.014589318224080557,-0.033196018303003595,9.567108822678389,0.19282233585907038,0.0836731432539122,0.0011160714285714285
324503,M2O-near,2.5,0.049273673204428006,-0.017264731524576665,-0.03906423549190732,10.87154076655085,0.16233782280774853,0.08204510348303967,0.0029017857142857144
324503,M2O-near,3.0,0.04366710991668137,-0.019683940140272374,-0.04091116518191264,11.851127784588815,0.14118806368190875,0.08150468674450742,0.007490079365079365
