model,seed,path,return_type,window,direction,decile,mean_standardized_response,count
primary,1230001,0,ito,10,backward,3,-0.19307335793610808,124
primary,1230001,0,ito,10,backward,4,-0.17109023702400245,124
primary,1230001,0,ito,10,backward,5,0.022302930636644392,124
primary,1230001,0,ito,10,backward,6,0.06853664623044381,124
primary,1230001,0,ito,10,backward,7,0.029974836969419525,124
primary,1230001,0,ito,10,backward,8,0.2397624737415506,124
primary,1230001,0,ito,10,backward,9,0.2604361306325029,124
primary,1230001,0,ito,10,backward,10,0.2520263610750692,124
primary,1230001,0,ito,20,forward,1,-0.11539488944546969,122
primary,1230001,0,ito,20,forward,2,-0.12487415286747212,122
primary,1230001,0,ito,20,forward,3,-0.055820137391777186,122
primary,1230001,0,ito,20,forward,4,-0.10312467516654591,122
primary,1230001,0,ito,20,forward,5,-0.04003164359101377,122
primary,1230001,0,ito,20,forward,6,0.08211468889417947,122
primary,1230001,0,ito,20,forward,7,-0.16974322596719973,122
primary,1230001,0,ito,20,forward,8,-0.14191634246704296,122
primary,1230001,0,ito,20,forward,9,-0.09835638261909957,122
primary,1230001,0,ito,20,forward,10,0.7671467606214407,122
primary,1230001,0,ito,20,backward,1,-0.1446949832572897,122
primary,1230001,0,ito,20,backward,2,-0.33998639919704216,122
primary,1230001,0,ito,20,backward,3,-0.16117885795752115,122
primary,1230001,0,ito,20,backward,4,-0.22617606338252533,122
primary,1230001,0,ito,20,backward,5,-0.002621889485680316,122
primary,1230001,0,ito,20,backward,6,0.031388862927489186,122
primary,1230001,0,ito,20,backward,7,-0.0030347965272198734,122
primary,1230001,0,ito,20,backward,8,0.5593166724423173,122
primary,1230001,0,ito,20,backward,9,-0.08108589686935454,122
primary,1230001,0,ito,20,backward,10,0.36807335130682645,122
primary,1230001,1,log,5,forward,1,-0.07655808866431806,125
primary,1230001,1,log,5,forward,2,-0.07229270200745132,125
primary,1230001,1,log,5,forward,3,-0.10250415608020755,125
primary,1230001,1,log,5,forward,4,-0.15843810000652592,125
primary,1230001,1,log,5,forward,5,-0.11355723542639433,125
primary,1230001,1,log,5,forward,6,-0.03941028257212485,125
primary,1230001,1,log,5,forward,7,0.01461552384148939,125
primary,1230001,1,log,5,forward,8,0.09352100002742837,125
primary,1230001,1,log,5,forward,9,0.07057775084173248,125
primary,1230001,1,log,5,forward,10,0.3840462900463727,125
primary,1230001,1,log,5,backward,1,0.0027283504315601956,125
primary,1230001,1,log,5,backward,2,-0.20831431362258424,125
primary,1230001,1,log,5,backward,3,0.0018977891071730512,125
primary,1230001,1,log,5,backward,4,-0.11820307640779011,125
primary,1230001,1,log,5,backward,5,-0.14856240931351974,125
primary,1230001,1,log,5,backward,6,0.07725810947948301,125
primary,1230001,1,log,5,backward,7,-0.15359628071252338,125
primary,1230001,1,log,5,backward,8,0.28610569138082165,125
primary,1230001,1,log,5,backward,9,0.08512895083042533,125
primary,1230001,1,log,5,backward,10,0.17555718882695392,125
primary,1230001,1,log,10,forward,1,-0.009237840281037489,124
primary,1230001,1,log,10,forward,2,-0.209938239723612,124
primary,1230001,1,log,10,forward,3,-0.010020120576121035,124
primary,1230001,1,log,10,forward,4,-0.08361064819563777,124
primary,1230001,1,log,10,forward,5,-0.05802035238523341,124
primary,1230001,1,log,10,forward,6,-0.10303138052876604,124
