model,return_type,direction,positive_covariance_share_tail_950,positive_covariance_share_tail_975,positive_covariance_share_tail_990,positive_covariance_share_tail_995
anchor,ito,backward,0.5155208683214263,0.417943179203296,0.27364369939932137,0.18643737560381266
anchor,ito,forward,0.6723465381710134,0.5869987240620673,0.4300743994500262,0.3080237669048097
anchor,log,backward,0.5159832308647432,0.41822456642997974,0.2747359457745889,0.1868682037607906
anchor,log,forward,0.6752484526004026,0.5894801020585619,0.4322870961689418,0.3091390364286156
primary,ito,backward,0.514158721137786,0.4191672203290987,0.27994583392960193,0.19144083065226797
primary,ito,forward,0.6534448124354175,0.5691557143676944,0.41906729588372804,0.3016269053260929
primary,log,backward,0.5146288762758802,0.42062940780078767,0.2807334268867216,0.191669889957338
primary,log,forward,0.657542325383676,0.5730249483409884,0.4217153108614057,0.3036399075680013
