seed,variant,variant_order,candidate_evaluations,acceptance_rate,mean_distance,max_abs_return_acf,mean_log_variance_acf,rough_hurst,leverage,leverage_rank,zumbach,zumbach_rank,excess_kurtosis,absolute_return_tail_ratio,hill_tail_index,hill_threshold_instability,taylor_gap,taylor_fraction,mean_volatility,q995_volatility,q_forward_mean_max_error,p_cap_exceedance_fraction,q_cap_exceedance_fraction
360007,M2,0,128,0.828125,0.0005155611577295043,0.08067713669819815,0.2446652397447054,0.0801308391347269,-0.06718634409468999,-0.024294848143471832,0.15760862389869895,0.04928800493252187,9.556329910564113,3.727851248838175,2.8388978466615526,0.5106474323937121,0.037340082315333235,0.9086263020833333,0.1488575865474887,0.6024553623203242,2.087089182034596e-17,0.00012562262318121693,0.00018461250964506174
360007,M3,1,128,0.828125,0.0005155611577295043,0.08067713669819815,0.2446652397447054,0.0801308391347269,-0.06718634409468999,-0.024294848143471832,0.15760862389869895,0.04928800493252187,9.556329910564113,3.727851248838175,2.8388978466615526,0.5106474323937121,0.037340082315333235,0.9086263020833333,0.1488575865474887,0.6024553623203242,2.087089182034596e-17,0.00012562262318121693,0.00018461250964506174
360007,M2+O,2,128,0.875,8.550316868007761e-05,0.08048049064296797,0.25460611200731836,0.08272833763893273,-0.06550355543712137,-0.022896095804769014,0.15003311767231575,0.04759005461763336,9.88647399906431,3.723644608359276,2.8150239808791104,0.49429498152810947,0.039474132664252384,0.9171549479166667,0.14825494199466632,0.6050314336474614,2.087089182034596e-17,0.00014144655257936506,0.0002087251639660494
360007,M4,3,128,0.875,8.550316868007761e-05,0.08048049064296797,0.25460611200731836,0.08272833763893273,-0.06550355543712137,-0.022896095804769014,0.15003311767231575,0.04759005461763336,9.88647399906431,3.723644608359276,2.8150239808791104,0.49429498152810947,0.039474132664252384,0.9171549479166667,0.14825494199466632,0.6050314336474614,2.087089182034596e-17,0.00014144655257936506,0.0002087251639660494
390001,M2,0,128,0.71875,0.001457059574077958,0.07792871595662695,0.19195448488323386,0.0761924371646086,-0.04644568688371597,-0.013298382342617217,0.19623291027895984,0.058308057449036894,8.385059466656719,3.6437516903471323,2.8760873947430934,0.4094331988228137,0.02481217778455827,0.8306966145833333,0.15410714602957165,0.590548500117295,2.076247160309741e-17,6.178867669753087e-05,9.526651372354496e-05
390001,M3,1,128,0.71875,0.001457059574077958,0.07792871595662695,0.19195448488323386,0.0761924371646086,-0.04644568688371597,-0.013298382342617217,0.19623291027895984,0.058308057449036894,8.385059466656719,3.6437516903471323,2.8760873947430934,0.4094331988228137,0.02481217778455827,0.8306966145833333,0.15410714602957165,0.590548500117295,2.076247160309741e-17,6.178867669753087e-05,9.526651372354496e-05
390001,M2+O,2,128,0.71875,0.0007263891566388341,0.0768371050109416,0.19938888033740204,0.07792650770195972,-0.04775220801692204,-0.012820184008565185,0.19231491183045735,0.05275181281572364,8.437549075788722,3.63503319995543,2.8805428424478707,0.40012977925108795,0.026706686411178845,0.8526204427083334,0.15339266146133756,0.5898875782521802,2.0816681711721685e-17,5.67293251212522e-05,8.891541280864196e-05
390001,M4,3,128,0.71875,0.0007263891566388341,0.0768371050109416,0.19938888033740204,0.07792650770195972,-0.04775220801692204,-0.012820184008565185,0.19231491183045735,0.05275181281572364,8.437549075788722,3.63503319995543,2.8805428424478707,0.40012977925108795,0.026706686411178845,0.8526204427083334,0.15339266146133756,0.5898875782521802,2.0816681711721685e-17,5.67293251212522e-05,8.891541280864196e-05
420001,M2,0,128,0.0390625,0.013088397331794616,0.07367767116863395,0.20503609614615542,0.06324025969682565,-0.04022471591304569,-0.011247366748531131,0.1339964173564216,0.030715164443284267,10.083316114755476,3.5782147257780377,2.9412266340509743,0.3734210041403061,0.025584086262782232,0.8406901041666668,0.15717039415940692,0.5839998190490402,2.087089182034596e-17,6.900094383818341e-05,0.00010463169642857142
420001,M3,1,128,0.0390625,0.013088397331794616,0.07367767116863395,0.20503609614615542,0.06324025969682565,-0.04022471591304569,-0.011247366748531131,0.1339964173564216,0.030715164443284267,10.083316114755476,3.5782147257780377,2.9412266340509743,0.3734210041403061,0.025584086262782232,0.8406901041666668,0.15717039415940692,0.5839998190490402,2.087089182034596e-17,6.900094383818341e-05,0.00010463169642857142
420001,M2+O,2,128,0.0546875,0.009113911960016331,0.0744474914091907,0.21864275996721244,0.06626626047956435,-0.03834329131233832,-0.009362017341012847,0.13281258426347836,0.029273931270129144,10.09057574322245,3.5995120772941602,2.924567543615133,0.38710991699662695,0.028116407042938843,0.863671875,0.15641575572036065,0.5842976437390772,2.0816681711721685e-17,7.287619185405643e-05,0.00010861459022266313
420001,M4,3,128,0.0546875,0.009113911960016331,0.0744474914091907,0.21864275996721244,0.06626626047956435,-0.03834329131233832,-0.009362017341012847,0.13281258426347836,0.029273931270129144,10.09057574322245,3.5995120772941602,2.924567543615133,0.38710991699662695,0.028116407042938843,0.863671875,0.15641575572036065,0.5842976437390772,2.0816681711721685e-17,7.287619185405643e-05,0.00010861459022266313
450007,M2,0,128,0.7578125,0.0009023395289200597,0.06783437563962202,0.19756209270769545,0.0772727417895867,-0.055103943436009495,-0.023658593123115128,0.1684210159090937,0.04256439439219117,9.192189892551552,3.7182726397052988,2.8134062574335372,0.4103884317985188,0.02571044857518136,0.8435709635416666,0.15143532250787248,0.6004795504418847,2.087089182034596e-17,7.502910741843033e-05,0.00011431981646825397
450007,M3,1,128,0.7578125,0.0009023395289200597,0.06783437563962202,0.19756209270769545,0.0772727417895867,-0.055103943436009495,-0.023658593123115128,0.1684210159090937,0.04256439439219117,9.192189892551552,3.7182726397052988,2.8134062574335372,0.4103884317985188,0.02571044857518136,0.8435709635416666,0.15143532250787248,0.6004795504418847,2.087089182034596e-17,7.502910741843033e-05,0.00011431981646825397
