variant,metric,seed_count,mean,between_seed_sd,between_seed_se,ci_lower,ci_upper,seed_min,seed_max,pooled_q10,pooled_median,pooled_q90
M2,acceptance_rate,5,0.6203125,0.3273148480677664,0.14637965006490827,0.2138974370767196,1.0267275629232806,0.0390625,0.828125,0.0,1.0,1.0
M2,mean_distance,5,0.0032961837927352215,0.005487552255915445,0.0024541079748618515,-0.0035175122816968355,0.010109879867167278,0.0005155611577295043,0.013088397331794616,0.0,0.0,0.00872988501387179
M2,max_abs_return_acf,5,0.07534600839819869,0.004896487994703891,0.002189776001433906,0.06926621553753792,0.08142580125885945,0.06783437563962202,0.08067713669819815,0.06767184137797903,0.07574108129025375,0.08148314550822129
M2,mean_log_variance_acf,5,0.20902150108599193,0.02072902250106412,0.009270300683900416,0.18328302012846487,0.234759982043519,0.19195448488323386,0.2446652397447054,0.16981767521978575,0.20315637475730933,0.24949439890442576
M2,rough_hurst,5,0.075429222838599,0.00704410152723671,0.003150217971062274,0.06668281557253702,0.08417563010466098,0.06324025969682565,0.08030983640724713,0.06159101609556016,0.07659510907104482,0.09196777225781726
M2,leverage,5,-0.053961220699121556,0.010825624950786724,0.004841366657775386,-0.06740300945856983,-0.040519431939673285,-0.06718634409468999,-0.04022471591304569,-0.06739416662446338,-0.055248167622247886,-0.040206295618444333
M2,leverage_rank,5,-0.017456586654058158,0.006087197077415674,0.002722277291507899,-0.02501484011505637,-0.009898333193059945,-0.024294848143471832,-0.011247366748531131,-0.02629087580643294,-0.016819800639788985,-0.009672033871813463
M2,zumbach,5,0.1646589797192485,0.022397634658890452,0.010016526726496873,0.13684864311838338,0.19246931632011363,0.1339964173564216,0.19623291027895984,0.13262786681823288,0.16447271236685373,0.1977929577414669
M2,zumbach_rank,5,0.04158479440611717,0.012936611256413589,0.005785428433565949,0.02552186995027085,0.05764771886196349,0.02704835081355165,0.058308057449036894,0.02172845332284416,0.04193791014224467,0.06180361489249104
M2,excess_kurtosis,5,9.836592559328942,1.3412947038051963,0.599845227113773,8.171155214632648,11.502029904025235,8.385059466656719,11.966067412116852,7.785812352627084,9.751861169478023,11.99587895959334
M2,absolute_return_tail_ratio,5,3.6703992879726224,0.061202754230322676,0.027370703773842864,3.5944060314539175,3.7463925444913273,3.5782147257780377,3.727851248838175,3.5356153135359816,3.673351960868101,3.7994681772642074
M2,hill_tail_index,5,2.8400758985361114,0.0777666784329754,0.03477831587209996,2.7435158136659967,2.936635983406226,2.7307613597914013,2.9412266340509743,2.6919824749119345,2.832947061201086,2.9936384303564076
M2,hill_threshold_instability,5,0.40799094991535567,0.06502816794016708,0.029081480793297212,0.32724781491490196,0.4887340849158094,0.3360646824214271,0.5106474323937121,0.3346104503169639,0.3978835840120599,0.5107675562641182
M2,taylor_gap,5,0.0289919868460206,0.0053828429110549395,0.0024072805322643397,0.02230830459537734,0.035675669096663865,0.02481217778455827,0.037340082315333235,0.021918027831914336,0.028209600861028562,0.03713842876726697
M2,taylor_fraction,5,0.8629199218749999,0.03458804071706299,0.015468242050376684,0.8199731969482169,0.9058666468017829,0.8306966145833333,0.9086263020833333,0.8104166666666668,0.8614583333333332,0.9125
M2,mean_volatility,5,0.1528705777253907,0.0030898764796485367,0.0013818347701143746,0.14903398934171452,0.15670716610906688,0.1488575865474887,0.15717039415940692,0.14540849483566992,0.15281685910362622,0.16015924287633798
M2,q995_volatility,5,0.5963056890301788,0.008656204358033916,0.0038711722743387527,0.5855575917177135,0.6070537863426441,0.5839998190490402,0.6040452132223502,0.5743371592296278,0.5969784205684203,0.6172619830711412
M2,q_forward_mean_max_error,5,2.0860049798621106e-17,5.938419867664178e-20,2.6557421006064813e-20,2.078631457706214e-17,2.093378502018007e-17,2.076247160309741e-17,2.0925101928970236e-17,2.0816681711721685e-17,2.0816681711721685e-17,2.0816681711721685e-17
M2,p_cap_exceedance_fraction,5,9.41254684744268e-05,3.5581253183522945e-05,1.591242016859762e-05,4.994550738547329e-05,0.0001383054295633803,6.178867669753087e-05,0.00013918599123677246,1.3778659611992945e-05,5.511463844797178e-05,0.000248015873015873
M2,q_cap_exceedance_fraction,5,0.00014004715746252205,4.917403601509901e-05,2.199129745155685e-05,7.898952729619832e-05,0.0002011047876288458,9.526651372354496e-05,0.00020140525104717812,1.3778659611992945e-05,8.267195767195767e-05,0.0003720238095238095
M3,acceptance_rate,5,0.6203125,0.3273148480677664,0.14637965006490827,0.2138974370767196,1.0267275629232806,0.0390625,0.828125,0.0,1.0,1.0
M3,mean_distance,5,0.0032961837927352215,0.005487552255915445,0.0024541079748618515,-0.0035175122816968355,0.010109879867167278,0.0005155611577295043,0.013088397331794616,0.0,0.0,0.00872988501387179
M3,max_abs_return_acf,5,0.07534600839819869,0.004896487994703891,0.002189776001433906,0.06926621553753792,0.08142580125885945,0.06783437563962202,0.08067713669819815,0.06767184137797903,0.07574108129025375,0.08148314550822129
M3,mean_log_variance_acf,5,0.20902150108599193,0.02072902250106412,0.009270300683900416,0.18328302012846487,0.234759982043519,0.19195448488323386,0.2446652397447054,0.16981767521978575,0.20315637475730933,0.24949439890442576
M3,rough_hurst,5,0.075429222838599,0.00704410152723671,0.003150217971062274,0.06668281557253702,0.08417563010466098,0.06324025969682565,0.08030983640724713,0.06159101609556016,0.07659510907104482,0.09196777225781726
M3,leverage,5,-0.053961220699121556,0.010825624950786724,0.004841366657775386,-0.06740300945856983,-0.040519431939673285,-0.06718634409468999,-0.04022471591304569,-0.06739416662446338,-0.055248167622247886,-0.040206295618444333
M3,leverage_rank,5,-0.017456586654058158,0.006087197077415674,0.002722277291507899,-0.02501484011505637,-0.009898333193059945,-0.024294848143471832,-0.011247366748531131,-0.02629087580643294,-0.016819800639788985,-0.009672033871813463
M3,zumbach,5,0.1646589797192485,0.022397634658890452,0.010016526726496873,0.13684864311838338,0.19246931632011363,0.1339964173564216,0.19623291027895984,0.13262786681823288,0.16447271236685373,0.1977929577414669
M3,zumbach_rank,5,0.04158479440611717,0.012936611256413589,0.005785428433565949,0.02552186995027085,0.05764771886196349,0.02704835081355165,0.058308057449036894,0.02172845332284416,0.04193791014224467,0.06180361489249104
M3,excess_kurtosis,5,9.836592559328942,1.3412947038051963,0.599845227113773,8.171155214632648,11.502029904025235,8.385059466656719,11.966067412116852,7.785812352627084,9.751861169478023,11.99587895959334
M3,absolute_return_tail_ratio,5,3.6703992879726224,0.061202754230322676,0.027370703773842864,3.5944060314539175,3.7463925444913273,3.5782147257780377,3.727851248838175,3.5356153135359816,3.673351960868101,3.7994681772642074
M3,hill_tail_index,5,2.8400758985361114,0.0777666784329754,0.03477831587209996,2.7435158136659967,2.936635983406226,2.7307613597914013,2.9412266340509743,2.6919824749119345,2.832947061201086,2.9936384303564076
M3,hill_threshold_instability,5,0.40799094991535567,0.06502816794016708,0.029081480793297212,0.32724781491490196,0.4887340849158094,0.3360646824214271,0.5106474323937121,0.3346104503169639,0.3978835840120599,0.5107675562641182
M3,taylor_gap,5,0.0289919868460206,0.0053828429110549395,0.0024072805322643397,0.02230830459537734,0.035675669096663865,0.02481217778455827,0.037340082315333235,0.021918027831914336,0.028209600861028562,0.03713842876726697
M3,taylor_fraction,5,0.8629199218749999,0.03458804071706299,0.015468242050376684,0.8199731969482169,0.9058666468017829,0.8306966145833333,0.9086263020833333,0.8104166666666668,0.8614583333333332,0.9125
M3,mean_volatility,5,0.1528705777253907,0.0030898764796485367,0.0013818347701143746,0.14903398934171452,0.15670716610906688,0.1488575865474887,0.15717039415940692,0.14540849483566992,0.15281685910362622,0.16015924287633798
