structural_scenario_id,candidate_id,variant,seed_pass_fraction,mean_distance,rough_hurst,leverage_rank,zumbach_rank,excess_kurtosis,max_abs_return_acf,mean_log_variance_acf,p_cap_exceedance_fraction,passes_majority,passes_80pct,passes_all_seeds
0,18,M2,1.0,0.0,0.08444985922493778,-0.015125034284866692,0.048050203978561114,10.283326167003263,0.07756247971873154,0.20746465845280815,4.409171075837742e-05,True,True,True
1,18,M2,1.0,0.0,0.08454128282259595,-0.01486572183107052,0.05033032825121592,10.233859145551992,0.07723420500403134,0.20741220328578014,4.409171075837742e-05,True,True,True
2,18,M2,1.0,0.0,0.08440463696486014,-0.014987786133468645,0.04541962345405556,10.179238808076486,0.07695559683902571,0.2084241144259998,4.1335978835978834e-05,True,True,True
3,18,M2,1.0,0.0,0.08446981374122703,-0.014939874474976836,0.04309603920476924,10.112909938499508,0.0766625423200355,0.2092182228635687,3.8580246913580246e-05,True,True,True
3,26,M2,1.0,0.0,0.09082256133115935,-0.014274169322552075,0.05178487069415166,8.7791809757879,0.07516360909883342,0.23336297396310407,1.1022927689594355e-05,True,True,True
2,26,M2,0.8,1.96508628350184e-10,0.09074369738379273,-0.014306403511612184,0.05447449193788332,8.830827500557488,0.07543042175377997,0.2325813859659256,1.3778659611992945e-05,True,True,False
3,14,M2,0.8,8.201069915273731e-10,0.09242051916034495,-0.014005207135051722,0.05182991420059711,9.589349988634137,0.07626081751111771,0.21236424344941965,9.645061728395061e-05,True,True,False
0,14,M2,0.8,6.194351738880234e-09,0.09228333811111238,-0.014165628634900363,0.057445102328093633,9.751223476933074,0.0772745767685005,0.2105335465959289,0.00010471781305114638,True,True,False
2,14,M2,0.8,6.518021601075337e-09,0.09229780925811767,-0.014045311193899799,0.05446231574970657,9.650961836169357,0.0766410522812176,0.211547505028088,0.00010196208112874779,True,True,False
0,26,M2,0.8,6.8106802324845e-09,0.09077936347172604,-0.014400808886400898,0.057302570778591876,8.921298278000073,0.0760388054212444,0.23162684102719283,1.3778659611992945e-05,True,True,False
3,28,M2,0.8,6.184093366507154e-08,0.08704244005191174,-0.014092874933158283,0.04693489261099867,8.813778410555157,0.07490798823978988,0.2566067519722982,7.164902998236332e-05,True,True,False
1,26,M2,0.8,9.661533981626702e-08,0.09087776382805664,-0.014146659184903293,0.05933624726521308,8.889473310818634,0.07573907521589125,0.23164844950154767,1.3778659611992945e-05,True,True,False
2,28,M2,0.8,9.902199078215428e-08,0.08702438701157542,-0.014114668746752124,0.0492206918833083,8.877197033805382,0.07510785030966906,0.2558698218425574,7.716049382716049e-05,True,True,False
1,14,M2,0.8,1.2416887004828915e-07,0.09239262843082494,-0.013908469598414472,0.059507060388007994,9.711648473777556,0.07712294223080524,0.21046945882737772,0.00011298500881834215,True,True,False
