candidate_id,cluster_loading,feedback_curvature,feedback_shift,spike_curvature,orthogonal_curvature,echo_loading,cap_level,cap_sharpness
0,0.2629654662683606,0.06925510965753347,2.886044593714178,0.20057556301355361,0.11829547242644144,0.0,5.873221298214048,6.1538892248645425
1,0.20160698210820557,0.07996574914082885,3.2510731095448135,0.2374085596203804,0.045232413939183466,0.0,5.129386593122035,8.666233093477786
2,0.2289998285472393,0.06430660098791122,2.832480383478105,0.18366098158061503,0.020691600694384325,0.0,5.41385539341718,6.8435773411765695
3,0.2933860388584435,0.07862174647394568,3.067900196649134,0.2593231426924467,0.19329371660206118,0.0,6.15839353017509,7.984552980400622
4,0.2773324431851506,0.06102733196690678,3.2200010089203714,0.24746617570519447,0.1806828490037143,0.0,6.024978729896247,7.260679797269404
5,0.2378246164880693,0.0748634483339265,2.9850870983675124,0.19047712936997413,0.03528296146634178,0.0,5.269471470266581,7.561110497452319
6,0.21834226027131082,0.07175303331110627,3.098974011652172,0.22922467060387136,0.05596634677516202,0.0,5.734069987665862,6.390289471484721
7,0.25462781311944127,0.08294289264827967,2.7334395976737142,0.21371863551437856,0.0818483628556123,0.0,6.490372991655022,8.436539084650576
8,0.26037696758285167,0.06623911500442774,3.1390380073338746,0.19648031547665595,0.03941378565485458,0.0,6.223864151164889,7.334144979715347
9,0.22489707954227925,0.07692724628373981,2.7730619207024576,0.2408962793648243,0.09924992682199865,0.0,5.490998988039792,7.869041427969933
10,0.2443801517598331,0.06754384808242321,3.1797893855720756,0.21964385755360127,0.22120154879690973,0.0,5.020357612986118,6.691643536090851
11,0.28308231513947246,0.08182962188962847,2.945610111951828,0.22273273594677448,0.024611350639674,0.0,5.752427791710943,8.503426149487495
12,0.29935491690412164,0.07051171878352762,2.7982757639139892,0.23080004900693893,0.032109614985167255,0.0,6.378210476133972,6.27442592382431
13,0.2357255432754755,0.0843245640071109,3.0317934952676295,0.20654045909643173,0.14585900465534243,0.0,5.610234498512,8.927487328648567
14,0.20833341283723714,0.062489898935891686,2.92039684318006,0.25279291801154613,0.09017833367092232,0.0,5.331442344933748,7.0982246696949005
15,0.26893506180495025,0.07365114953368902,3.2870344676077363,0.18954758934676647,0.06948194053920671,0.0,6.0987141309306026,8.098484382033348
16,0.27431888692080975,0.06181873608380556,2.745128928869963,0.22651283517479898,0.2121842301297775,0.0,5.591213259845972,8.767512990161777
17,0.2107140221633017,0.07251564121339471,3.1294893007725477,0.21084689751267433,0.022073353820592844,0.0,6.359143438749015,6.029857037588954
18,0.2333221411332488,0.0694007444800809,2.9358963377773764,0.24959932155907155,0.04776055824152218,0.0,6.073741978500038,7.956517500802875
19,0.29389928011223676,0.0837265725620091,3.151984858140349,0.19276041217148304,0.13119263357491437,0.0,5.306607499253005,6.847492961212993
20,0.2853641238063574,0.066921036564745,3.004666529595852,0.18090405613183974,0.07382451393861636,0.0,5.5569867682643235,7.624283714219928
21,0.24985972577705978,0.08074341848492622,2.7879210490733386,0.2564136388897896,0.05298770697682681,0.0,6.2897146246396005,7.174714235588908
22,0.21934264209121468,0.06507959863170981,3.2768081992864606,0.20266117803752423,0.033084380497587614,0.0,5.824183402583003,8.253249479457736
23,0.25806931434199215,0.07628014065790922,2.8931047920137645,0.23965651862323284,0.16454687114128402,0.0,5.092159022577107,6.549499271437526
24,0.25229498287662866,0.07130121480673551,3.2424582408741114,0.25054258555173875,0.027300393382453058,0.0,5.1947883064858615,7.697029176168144
25,0.2128114739432931,0.0819786664703861,2.857141142897308,0.18745961993932725,0.23350648217868042,0.0,5.950249812100083,7.481925803236663
26,0.24332936750724912,0.0601364664407447,3.038868862576783,0.23370719604194165,0.10576962002334488,0.0,6.421457636170089,8.555320414714515
27,0.27959060072898867,0.07443597162142396,2.8240300370380282,0.20929500870406628,0.04330821162106339,0.0,5.6652919836342335,6.6171028492972255
28,0.2879540531896055,0.06390389675740152,2.9761056745424868,0.21736293151974678,0.06325366420519049,0.0,5.157286320813,8.887301716022193
29,0.22657124940305948,0.07770606227219105,3.1914641311392185,0.22060196593403816,0.08459327775939506,0.0,5.900983674451709,6.290362942032516
30,0.20396394031122328,0.06831493912264705,2.7050672242417932,0.19935442693531513,0.13821592361242302,0.0,6.180342321749777,8.211909952573478
31,0.26837446838617324,0.07948992118705064,3.089864686690271,0.2436104691773653,0.028937818175195685,0.0,5.435849939007312,6.96216984372586
