seed,steps_per_day,dt_years,maximum_lambda_dt,accepted,distance,p_cap_exceedance_fraction,mean_volatility,q995_volatility,excess_kurtosis,absolute_return_tail_ratio,hill_tail_index,hill_threshold_instability,rough_hurst,zumbach,zumbach_rank,max_abs_return_acf,leverage,leverage_rank,mean_log_variance_acf,taylor_gap,taylor_fraction,return_path_correlation,variance_path_correlation,return_rmse_in_reference_sd,variance_relative_bias,variance_relative_rmse,maximum_volatility,q999_volatility
910003,2,0.001984126984126984,9.920634920634928,True,0.0,0.0,0.15990480366448862,0.5030474576229763,6.940325843420812,3.460737968443782,3.2185027412558718,0.6249345947557358,0.09571502153782424,0.19242980777687538,0.05928378410736343,0.07412226587318642,-0.04269845282974589,-0.012764959822213979,0.21336353798498864,0.02523590889106074,0.8291666666666667,0.8856884615963362,0.8664978369480907,0.47786627431396644,-0.00032736644567910354,0.6619465791565541,0.8890143666607359,0.5651030217000363
910003,4,0.000992063492063492,4.960317460317464,False,2.416729612123829e-06,2.755731922398589e-05,0.1632234651030658,0.4939925656094999,7.5937346550802145,3.478005242532531,3.1048259923314077,0.5029668602675964,0.11633521656289635,0.1885846192729922,0.06374475719196683,0.07262157671494811,-0.04165731234717897,-0.007079686614905898,0.2451343803817726,0.026814714734945,0.8416666666666665,0.9121448828985115,0.9498217235932715,0.4195097993281234,-0.0009647768877726701,0.3857539959920282,0.8746496353391278,0.5516077130985506
910003,8,0.000496031746031746,2.480158730158732,False,7.72561463227822e-06,3.444664902998236e-05,0.16478055307652437,0.48343459045594406,8.27968417185542,3.4083900297328342,3.0606838035356603,0.46094512736909543,0.1280640832720162,0.1892176877563053,0.056975067291048585,0.07403470244703374,-0.04298712165545234,-0.006354536598253625,0.26471346205064306,0.027275745771687565,0.8208333333333333,0.9401733205440298,0.9844024632551516,0.3462242860830396,-0.0007480817320236723,0.20990797686463453,0.8658585566693902,0.5525956695618657
910003,16,0.000248015873015873,1.240079365079366,False,0.00013901421900997936,2.755731922398589e-05,0.16544816078252247,0.48294031526339043,8.667668338177902,3.4733364960973954,3.0220082420664256,0.42100940202233833,0.13423670502841958,0.1980478137923566,0.06089539680177671,0.07566380212931569,-0.04113869372834777,-0.0010200659565355917,0.2751488021093424,0.031921952961661074,0.8624999999999999,0.966514679404793,0.9960459800684968,0.25940754446468056,-3.687198434766695e-05,0.1047115071418236,0.8609936035501906,0.5596992826297391
910003,32,0.0001240079365079365,0.620039682539683,False,0.00020264775391060598,3.1001984126984125e-05,0.16559689392431418,0.4816366691842691,8.953580535192048,3.4813563378838075,3.036905931164925,0.451273723885455,0.13700786000647486,0.19558121394072706,0.059957098195384285,0.0737904140556353,-0.04136096524008382,0.0004273805198606407,0.2777725781146964,0.031197149435376815,0.8624999999999999,0.9869950271785588,0.9992185917742624,0.1612531392581446,-0.00013454044745410388,0.04643608445620104,0.8598731375222288,0.5559583507112267
910003,64,6.200396825396825e-05,0.3100198412698415,False,0.00028793953763767366,3.1863150352733684e-05,0.16565338964833778,0.4821215909017307,9.19921504218115,3.436623527944347,2.985130360736953,0.38042915460130095,0.13787099195215455,0.18991293684452248,0.05615348876043184,0.07189017707843491,-0.04031167368169555,0.0020455185091984985,0.2782809596781656,0.0323865629625214,0.8833333333333333,0.9999999999999999,1.0,0.0,0.0,0.0,0.8587352049630238,0.5559199083794162
930011,2,0.001984126984126984,9.920634920634928,True,0.0,2.755731922398589e-05,0.1595803891743817,0.5106019825285603,6.542850663680792,3.449580082599995,3.199168284791694,0.5376579803080329,0.09200589125357407,0.17709681599616345,0.04022347631393026,0.07700511693224574,-0.0350602601391573,-0.01740961877734041,0.184519015286537,0.02486484373377655,0.8333333333333334,0.884506662130091,0.8543242000711613,0.47950142029380305,-0.0003126351286786987,0.6840727412645893,0.7713893611680702,0.5678795539313783
930011,4,0.000992063492063492,4.960317460317464,True,0.0,2.755731922398589e-05,0.1629991301642225,0.49978211632494945,7.363130140481427,3.4327323275334094,3.0827989911520532,0.4624619333069002,0.11722377598046413,0.18101404799962315,0.045224499641809364,0.07488236375071515,-0.03399152940637769,-0.010535639854832336,0.21880769705754202,0.03017151261109437,0.8958333333333334,0.9112552377302942,0.9433501065001846,0.42145643252092435,-0.00016891201060409308,0.404583328039008,0.7529039730626823,0.5757817819877256
930011,8,0.000496031746031746,2.480158730158732,False,3.8427724019752045e-07,4.8225308641975306e-05,0.16464835864276348,0.49273317953291484,7.712276597893727,3.5137909108874794,2.9926774085000294,0.42351924330611723,0.1308590172520482,0.1700286209306604,0.03632907831810798,0.07631747581278037,-0.034626396847740284,-0.0076330186125856195,0.23510120944467083,0.029849956633175228,0.8999999999999999,0.9380871040958312,0.9829478890328859,0.35208482472854674,-0.00022361164683800392,0.2158537002317685,0.7394704224612136,0.5708079096089798
930011,16,0.000248015873015873,1.240079365079366,False,1.9523249672506136e-05,5.166997354497354e-05,0.16520315431365087,0.4897438699873122,8.140926701276696,3.5134911594983094,2.9891782727703373,0.456837292854588,0.1383630856363409,0.1665185913020865,0.024992248296717205,0.07346443685237247,-0.03353028289865025,-0.005384240803662311,0.2417601203752627,0.030740342191694983,0.9166666666666665,0.9642680861581178,0.9957393852487237,0.2670186145893456,-0.00021173593669501848,0.10701170684090182,0.754595549888556,0.5586224896685689
