steps_per_day,seed_count,acceptance_rate,mean_dt_years,sd_dt_years,mean_maximum_lambda_dt,sd_maximum_lambda_dt,mean_distance,sd_distance,mean_p_cap_exceedance_fraction,sd_p_cap_exceedance_fraction,mean_mean_volatility,sd_mean_volatility,mean_q995_volatility,sd_q995_volatility,mean_excess_kurtosis,sd_excess_kurtosis,mean_absolute_return_tail_ratio,sd_absolute_return_tail_ratio,mean_hill_tail_index,sd_hill_tail_index,mean_hill_threshold_instability,sd_hill_threshold_instability,mean_rough_hurst,sd_rough_hurst,mean_zumbach,sd_zumbach,mean_zumbach_rank,sd_zumbach_rank,mean_max_abs_return_acf,sd_max_abs_return_acf,mean_leverage,sd_leverage,mean_leverage_rank,sd_leverage_rank,mean_mean_log_variance_acf,sd_mean_log_variance_acf,mean_taylor_gap,sd_taylor_gap,mean_taylor_fraction,sd_taylor_fraction,mean_return_path_correlation,sd_return_path_correlation,mean_variance_path_correlation,sd_variance_path_correlation,mean_return_rmse_in_reference_sd,sd_return_rmse_in_reference_sd,mean_variance_relative_bias,sd_variance_relative_bias,mean_variance_relative_rmse,sd_variance_relative_rmse,mean_maximum_volatility,sd_maximum_volatility,mean_q999_volatility,sd_q999_volatility
2,5,1.0,0.001984126984126984,0.0,9.920634920634928,0.0,0.0,0.0,3.8580246913580246e-05,4.179274384949047e-05,0.15910323727725098,0.002470450384768372,0.5051169336257104,0.006412722392634909,6.427864610918888,0.4104409485316301,3.5268960709603396,0.06687188009689028,3.1860105711796782,0.032475931889068665,0.537354040505023,0.05404149742944051,0.09230924521575548,0.0031442760781318683,0.1861681116454023,0.00735465613815818,0.052443269344257956,0.008446902473177906,0.07595960298348199,0.003995677858382318,-0.05078288120365364,0.017277181293052522,-0.020005595940765432,0.008303255207687776,0.2037498135950279,0.012761652217878219,0.022920408220361087,0.002894005282684564,0.8225,0.018304902197074053,0.8831192841462723,0.003745570577438285,0.8606892185208533,0.008154556957080283,0.4839378313962497,0.007641950662733021,-0.0005402883420271395,0.00044458556433555,0.6722224148744921,0.015012042097179903,0.7761559150748314,0.10458915868447083,0.5676647291315953,0.021147899329226616
4,5,0.8,0.000992063492063492,0.0,4.960317460317464,0.0,4.833459224247658e-07,1.0807943391891164e-06,3.582451499118166e-05,2.68595523170441e-05,0.1625189407674293,0.002352937596552074,0.49148539183167655,0.010323386641325231,6.7302133359352165,0.7399552982830035,3.494564830518736,0.069128997595737,3.1298319007462796,0.07355086447976888,0.4876836975684382,0.05980628984223073,0.11437259116871501,0.003100403614660985,0.18154349218508706,0.012866555683957153,0.048483453162832826,0.009041524378351611,0.0751988776947882,0.001849019011933149,-0.05055044547748955,0.017139417103564203,-0.014607104475092825,0.008077593714751849,0.23465053648387135,0.013510991105728029,0.02532922657307503,0.0043932756399183105,0.8491666666666665,0.036252394556927074,0.9077939597875074,0.0037277111516026847,0.9461128524049942,0.0037389146046976182,0.4300997512940505,0.009286817947094869,-0.0004536804493935662,0.0003044563149421671,0.39617080719277487,0.009954707146192647,0.7756196349348244,0.0864263997396393,0.5623429903429551,0.020310566142926437
8,5,0.4,0.000496031746031746,0.0,2.480158730158732,0.0,1.6352781469620718e-06,3.4083184803080843e-06,3.582451499118166e-05,1.6448049474086915e-05,0.16407996066502273,0.0023526397666581685,0.4834993690939914,0.008309419280219972,7.134311064130573,0.9119305837435735,3.493860539662113,0.07499258993120739,3.0548146691417224,0.06978392289239828,0.4433797952700673,0.054567440232342425,0.1273413014340185,0.003592261329391623,0.181206316708377,0.016803175711985488,0.04247647462217694,0.008603774023394219,0.07562428387649656,0.001455961652159589,-0.051239928535612676,0.017239086125457905,-0.012013665768669385,0.007526715922650179,0.25227801333641925,0.015229259980685259,0.025867162783354318,0.004962023097247491,0.8541666666666666,0.04071837559519179,0.937695182072459,0.0018329102124611315,0.9833711019585489,0.0009809147543573082,0.35338783683169994,0.0056604534684224685,-0.0004600655944687297,0.00018972500010933904,0.21465231415276018,0.004701688954615346,0.7673077851830022,0.08534389854692624,0.5610516346539657,0.024861834446488016
16,5,0.2,0.000248015873015873,0.0,1.240079365079366,0.0,4.013441349375538e-05,5.787397382188463e-05,3.3068783068783064e-05,1.6266698292986104e-05,0.1646968475891184,0.0023493429787566763,0.48226398488658484,0.008587949671282711,7.405420916794734,1.0428111629324928,3.539304630797864,0.06030740725392771,3.000632654770733,0.048033829086777086,0.4262915343504911,0.02358984652152673,0.13396884982439566,0.0036050307870730265,0.1811300359697749,0.014782397777062396,0.03605248323478457,0.014318432120390323,0.07467303610876393,0.004077793522384582,-0.050885853636499355,0.019141397089911135,-0.008755773549310687,0.009691116376489525,0.26054026670395786,0.01627980692022805,0.028840001059063553,0.004887731934403951,0.8741666666666668,0.03789147514796548,0.9648114499864311,0.00104349304204087,0.9958106753970171,0.00031849403360925633,0.265390113785373,0.003808389614599795,-0.00016662911118117305,0.00010703990984732784,0.10673617055676732,0.0027552985815189794,0.7664532787445795,0.08852405474462213,0.5590880053887837,0.024083717363060458
32,5,0.2,0.0001240079365079365,0.0,0.620039682539683,0.0,6.512298853706829e-05,8.529561144295756e-05,3.1690917107583774e-05,1.2215211107320011e-05,0.16489950605373688,0.0023145781445514644,0.4810239699709438,0.009232446893622253,7.578573825682076,1.0407262065455418,3.556636228117172,0.06935648801494597,2.9774144688835045,0.04527639851744995,0.45225034833354216,0.055964592776012616,0.13638741762280832,0.0035935992336670695,0.18012729451550125,0.01297192885977612,0.03168215808416918,0.017123843245308995,0.07464822014205505,0.003727361266627702,-0.05045613843023289,0.0181663263917004,-0.007334852484611595,0.00928024211161238,0.2635242667864809,0.015755282305409495,0.02915472195943013,0.004888324147420714,0.8808333333333334,0.04172911986184757,0.9860769558336286,0.0005492129773238101,0.9991715301672102,5.173194470948551e-05,0.16682031373901685,0.003379549057385051,-3.353940087133016e-05,0.00010819374569264591,0.04734452242279939,0.0012352544295003724,0.765697717352612,0.08900511675876215,0.55859267058408,0.02638380076833366
64,5,0.2,6.200396825396825e-05,0.0,0.3100198412698415,0.0,0.00010900192377206264,0.00013156516372476047,3.375771604938271e-05,1.4933228237704744e-05,0.1649530126926524,0.0023123940126647145,0.48088443670142567,0.009281225887534324,7.628143526161248,1.083194499742751,3.5749147400503154,0.08616393318755597,2.923093898042823,0.06926564451590209,0.3819180235830083,0.016228226667462008,0.13704898244909006,0.0036775309252005516,0.17583640345693705,0.014757831214321192,0.027004124991687493,0.01643993701905659,0.07394815479226931,0.003365968711488787,-0.04989524539558643,0.01832537511366594,-0.005789658853605365,0.009088200946353826,0.26439977463491515,0.01543008648701556,0.029682304590703812,0.004371286308721387,0.8825000000000001,0.03868498129478396,1.0,9.614813431917819e-17,1.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.7658622972037445,0.08849044913791757,0.559050698237713,0.026327117801133414
