configuration,seed_count,mean,between_seed_sd,ci95_lower,ci95_upper
Recommended model,10,0.1762736109298649,0.01445721528956389,0.1659315421313707,0.1866156797283591
Feedback quadratic removed,10,0.25304654383576286,0.009484273666198683,0.24626190317053193,0.2598311845009938
Fast quadratic removed,10,0.024676366025945758,0.01127801075637093,0.016608563145764373,0.03274416890612714
Both correlated quadratics removed,10,-0.002494340117555044,0.0063162461077257365,-0.00701271039052698,0.0020240301554168916
Return-state correlations removed,10,-0.0014014258875331633,0.014689917242075145,-0.011909959634789158,0.009107107859722833
"GARCH(1,1) positive control",10,0.040157361955670365,0.01025052997562084,0.03282457454775069,0.04749014936359004
