configuration,seed_count,mean,between_seed_sd,ci95_lower,ci95_upper
Recommended model,10,0.1802269487658447,0.013943815006691295,0.17025214440523068,0.1902017531264587
Feedback quadratic removed,10,0.2547655994275239,0.009015851969796656,0.24831604745772065,0.26121515139732715
Fast quadratic removed,10,0.028512593593795193,0.011027716680478531,0.02062384030932698,0.03640134687826341
Both correlated quadratics removed,10,-0.0026578400460734856,0.006025262253051997,-0.006968053009078597,0.0016523729169316266
Return-state correlations removed,10,-0.0011157973958985652,0.015253050800755485,-0.012027172623340378,0.009795577831543247
"GARCH(1,1) positive control",10,0.15671201355662653,0.008153130563393281,0.15087961530282265,0.16254441181043042
