stage,criterion,pass_fraction,minimum,mean,maximum
search,max_abs_return_acf,0.98125,0.07688393422396464,0.08954546904290127,0.1049413217010651
search,mean_log_variance_acf,1.0,0.188714295809572,0.2688035993976737,0.3586309177026461
search,rough_hurst,0.8480769230769231,0.09216275626594246,0.13788053178658166,0.19213738833466262
search,leverage_rank,0.8538461538461538,-0.05270083442099435,-0.02329628077216442,0.010360817776331903
search,zumbach_rank,0.6317307692307692,-0.028763025523891463,0.02486425141665946,0.09590398565555386
search,excess_kurtosis,0.9956730769230769,2.79018086778394,5.650133858812349,9.33301979146395
search,taylor_gap,1.0,0.013388655789251153,0.032921330450379996,0.068528979535396
validation,max_abs_return_acf,1.0,0.06002260595752978,0.06997638836836124,0.07923032502745779
validation,mean_log_variance_acf,1.0,0.21243729996377556,0.24565944293270414,0.3017546303870235
validation,rough_hurst,0.95,0.10886280771673836,0.12853795731468148,0.17425043004643825
validation,leverage_rank,1.0,-0.03719286949203649,-0.023873614341816347,-0.015153667201079515
validation,zumbach_rank,0.375,-0.05365037645781948,-0.005943170125645675,0.0323265993199155
validation,excess_kurtosis,1.0,5.960895489342543,7.583485904824625,9.430940513741964
validation,taylor_gap,1.0,0.023433713283774086,0.028710404310520365,0.03589481771725395
