candidate_id,scenario_id,seed_count,seed_pass_fraction,mean_distance,worst_seed_distance,worst_seed_gate_margin,mean_max_abs_return_acf,sd_max_abs_return_acf,mean_mean_log_variance_acf,sd_mean_log_variance_acf,mean_rough_hurst,sd_rough_hurst,mean_leverage_rank,sd_leverage_rank,mean_zumbach_rank,sd_zumbach_rank,mean_excess_kurtosis,sd_excess_kurtosis,mean_taylor_gap,sd_taylor_gap,mean_ito_zumbach,sd_ito_zumbach,mean_ito_zumbach_rank,sd_ito_zumbach_rank,mean_p_cap_exceedance_fraction,sd_p_cap_exceedance_fraction
57,2,4,1.0,0.0,0.0,0.4509644896029541,0.08595669919936501,0.0030359330362966005,0.22800105399249473,0.01916399027771992,0.11604850170770793,0.0041698170714896685,-0.028138739308680986,0.012137546059747808,0.03782835780340907,0.01286712246489198,4.876214494075959,0.6153260240702221,0.022030843263889925,0.006396302159926752,0.1572859315316192,0.018149668043540963,0.03375425578823038,0.012752400994268918,0.00022088913690476193,9.08137452637897e-05
57,5,4,1.0,0.0,0.0,0.38631225376707823,0.08633872740776352,0.0036637553667426413,0.22886524837950017,0.02039368562309514,0.11543500404801343,0.0019263871447372514,-0.02829755804186146,0.011945354127725622,0.03775651565957444,0.013508862398391311,5.031136640133382,0.8017275515874165,0.022634757068876844,0.007141604134208417,0.15720748892433134,0.016808562950980984,0.03345107694124521,0.01337471862746362,0.00023299928695436506,0.00011850040174713534
57,4,4,1.0,0.0,0.0,0.3730871569298,0.08656025102571234,0.0034861527558108555,0.22942915992413615,0.017203632546403454,0.11656139361853589,0.004578955858638312,-0.028874244383295222,0.011950543200325157,0.029910512915506185,0.008657175172761194,5.062715625163282,0.6222349337539449,0.02341291997377375,0.005280867307580018,0.15104679868180884,0.026832735527001467,0.025325457430834534,0.008439475922239014,0.0002455938430059524,0.00010443266144840384
25,2,4,1.0,0.0,0.0,0.3307543665489432,0.08824653097771261,0.003829917493267259,0.23095946228551867,0.0199998478009609,0.12182103706875383,0.005184415202221731,-0.025418995014259108,0.01208996512651472,0.03093602883201014,0.011830531022797327,5.578549470004107,0.6722711994939586,0.02830432187358753,0.007199330219038547,0.15797693077874272,0.02245515310660635,0.027210238712500397,0.011270835244467621,0.00023493691096230162,0.00010051239725936646
64,5,4,1.0,0.0,0.0,0.31890161826488295,0.0880858860648933,0.0029183415909233438,0.2661332540126192,0.022509356846712483,0.14360037585862018,0.0030057242466713543,-0.02850962584588735,0.012755792682835112,0.041283892675880826,0.013963502836354254,5.037456241960746,0.8344791466064516,0.026679557333443342,0.007816911432012297,0.1762205439066582,0.021658515822122103,0.03707124258090562,0.013859466406406255,8.816189236111111e-05,7.451669659532107e-05
64,2,4,1.0,0.0,0.0,0.3089656852952353,0.08751810354340162,0.002610818771716635,0.26582510959734074,0.02062915731820622,0.1446058301225621,0.0062159568774691944,-0.028072829137194368,0.01257298929388078,0.041045133078816805,0.010701276078249085,4.8652892810684545,0.620389838700105,0.02623585461375701,0.006508568323359385,0.17680068273456523,0.021811540752692798,0.036931683645685096,0.010547653511049247,8.525545634920634e-05,5.4644203399722704e-05
56,2,4,1.0,0.0,0.0,0.2881727119076467,0.08652578213909183,0.0024048692335926166,0.26742728326811455,0.01917749385004101,0.13508299386233208,0.004703787900715051,-0.035307878078172816,0.011954552459417352,0.03029196574667529,0.008416519278124682,4.463453000941347,0.6061824124917595,0.022028829048129507,0.006549021270618077,0.15764970001009382,0.02247754537433143,0.02562935060635152,0.008256693622911353,3.148639012896825e-05,1.5040006797436933e-05
57,0,4,1.0,0.0,0.0,0.27257955759925623,0.08703796673892242,0.004107338142512957,0.2302346195272823,0.01672154041357571,0.1161866849677311,0.0024885927000182825,-0.02933225401522285,0.011891968525974562,0.030010430463442386,0.006880664194160137,5.23962154255697,0.8145406483962462,0.024585276298880653,0.005453888956228821,0.15299009394040877,0.02883593127148275,0.02516270871384559,0.006648444028311086,0.0002712673611111111,0.0001348656834224105
25,5,4,1.0,0.0,0.0,0.2690757598919141,0.08909233560440985,0.003972855040208479,0.23086231653231848,0.02040868589271779,0.12116137567033881,0.0027675272296076524,-0.025699891326151674,0.012284591516638226,0.02967094162977929,0.012886140390316504,5.751879161108707,0.8952535298132036,0.028948877917852542,0.007966801591346401,0.15729102798376363,0.020493258030466362,0.025538613937993095,0.012645530711273913,0.00024317181299603175,0.00013514840643966865
56,4,4,1.0,0.0,0.0,0.2548414728322748,0.08701744043091245,0.002511109430943988,0.2681924519578585,0.016958935563203575,0.13546353881666817,0.005381969772056864,-0.03568729094115373,0.01154432944939885,0.022628106115743687,0.0056753846948100015,4.602246449237344,0.6082731380392891,0.02322295231850304,0.0056720155974777945,0.15174220856705478,0.029142259722878955,0.017257134373513,0.005249035148033278,3.487723214285714e-05,1.6441284904821137e-05
