stage,seed,scenario_id,candidate_id,accepted,distance,feedback_asset_correlation,spike_asset_correlation,p_cap_exceedance_fraction,q_forward_mean_max_error,mean_volatility,q995_volatility,excess_kurtosis,absolute_return_tail_ratio,hill_tail_index,hill_threshold_instability,rough_hurst,zumbach,zumbach_rank,max_abs_return_acf,leverage,leverage_rank,mean_log_variance_acf,taylor_gap,taylor_fraction,ito_zumbach,ito_zumbach_rank
search,1100003,0,0,True,0.0,0.996259961884662,0.9790548338377681,8.138020833333333e-05,2.0816681711721685e-17,0.16623872190528616,0.4306857312063726,5.0094738430219135,3.499708087800082,3.1468821244315173,0.5302757708423599,0.14530997447911115,0.19608947965099824,0.05548822372557459,0.08821251983505854,-0.06863187233542928,-0.02772421349979992,0.23799458897644932,0.022326992483788628,0.8,0.19198388591970772,0.05121824569970708
search,1100003,0,1,False,0.0007237067489655642,0.996259961884662,0.9790548338377681,0.0004359654017857143,2.0816681711721685e-17,0.15740169460092385,0.4206372069696145,6.467953133181766,3.682725180880641,2.898860707861636,0.4431217240151406,0.11652125163150993,0.16296474178153084,-0.0007375519749654889,0.08704912479680871,-0.08900048273521248,-0.04023029877983143,0.2250751485600593,0.03444643997832145,0.88125,0.15921016011166428,-0.005969516514020392
search,1100003,0,2,False,3.0071776634626775e-06,0.996259961884662,0.9790548338377681,0.0004417782738095238,2.0816681711721685e-17,0.15340159451031699,0.4522051570024885,6.446541223745122,3.655134607489682,2.9540931494718583,0.4883322025100982,0.1601560709424398,0.20237245770941686,0.05420244163580788,0.0957406327718914,-0.05882898830673842,-0.020845885088156955,0.24040473982999322,0.0337560823397617,0.7999999999999999,0.1985350599687252,0.050917426237028926
search,1100003,0,3,True,0.0,0.996259961884662,0.9790548338377681,0.00011044456845238095,2.0816681711721685e-17,0.15979558211894979,0.4202865790075554,6.23505456119803,3.618085833623706,2.9767449519657045,0.41575432172848603,0.12200067030988405,0.16913958032644896,0.016313088497605877,0.08888969185095769,-0.0780518454318646,-0.029183765675025182,0.2453478913733257,0.032510161361627446,0.8375,0.16562942598550084,0.011749452859253794
search,1100003,0,4,False,0.023155785808705292,0.996259961884662,0.9790548338377681,0.00028095548115079363,2.0816681711721685e-17,0.15675898086596995,0.44196704869711045,5.839918611946439,3.6410198158455582,3.1076867380090283,0.5578443241016269,0.1736953227435688,0.1941377442910033,0.020771778974268205,0.09209708565953537,-0.08984123142046949,-0.040156689564367715,0.2743957481030658,0.03474648473796231,0.8374999999999999,0.18899929253028552,0.015675830693258216
search,1100003,0,5,False,5.252488338735005e-05,0.996259961884662,0.9790548338377681,0.0006607297867063492,2.7755575615628914e-17,0.15026589083575595,0.43512783342665096,6.771653411454323,3.7292748755059897,2.844026250430365,0.4682080219119143,0.1495943100889734,0.19168485630731477,0.010760267907374822,0.09214959295289024,-0.09106567141987928,-0.036078658342148864,0.25408813778162237,0.042678401175286484,0.8625,0.18761714400560325,0.005825922503663767
search,1100003,0,6,True,0.0,0.996259961884662,0.9790548338377681,3.293960813492063e-05,2.0816681711721685e-17,0.16510910713166344,0.42537992357483645,5.340294617407607,3.4988511654736403,3.147221824041158,0.4870391222709704,0.14549309010490102,0.17892235668096823,0.030728819976326423,0.08941185681285649,-0.07731198221001614,-0.030736432801387166,0.27261881070636945,0.0271361580590319,0.825,0.17456204412468754,0.025795009453837867
search,1100003,0,7,True,0.0,0.996259961884662,0.9790548338377681,0.00015694754464285715,2.0816681711721685e-17,0.15894339555160722,0.43517365357700666,5.907084949267444,3.6163070941741995,2.976269001908807,0.4724481144167729,0.13491815676916546,0.1992716446470214,0.05876974089951677,0.0897655169861037,-0.05745825891401389,-0.019657919143989868,0.21691292583382638,0.027262321266235876,0.775,0.19595537849967817,0.05549726999132138
search,1100003,0,8,False,0.0014249900533310166,0.996259961884662,0.9790548338377681,7.556733630952381e-05,2.0816681711721685e-17,0.1654972362349822,0.4164562204434462,5.615549752338055,3.581403667035327,2.9063609428812405,0.34974982628263185,0.1159931809458605,0.14936942785546198,-0.007083188651125706,0.08650883512086749,-0.09251046251419101,-0.04915027143501176,0.2328987769429135,0.026703677041956406,0.85,0.14481757986623933,-0.012820340070794986
search,1100003,0,9,True,0.0,0.996259961884662,0.9790548338377681,0.00018601190476190475,2.0816681711721685e-17,0.16508871393694202,0.42682438964745617,5.134345646047638,3.5527234899172533,3.088199710831986,0.5441675206109886,0.13686931654912193,0.19667009438961086,0.04952733437807835,0.08706087977238619,-0.0754798496841742,-0.03263141140398139,0.22325045407401206,0.023130128170921888,0.8125,0.19251576307479537,0.04477002297852195
