spike_shift,metric,mean_paired_effect,between_seed_sd,seed_min,seed_max
0.1,acceptance_rate,-0.1625,0.27099354235848505,-0.625,0.0
0.1,distance,1.1422508561682983e-05,2.2056081602082927e-05,0.0,5.05486584817629e-05
0.1,rough_hurst,0.0020629880665954587,0.0003285629879330842,0.0016680883492998155,0.0024069710961797646
0.1,leverage_rank,-0.008052496469083141,0.0006386463882521925,-0.008871952349941035,-0.007245786777485261
0.1,zumbach_rank,-0.017679748666990666,0.0020716281331535926,-0.020105375517653012,-0.014485705160041207
0.1,excess_kurtosis,0.7264387446833623,0.20497306704032417,0.4212158965637942,0.9994306162569055
0.1,max_abs_return_acf,0.0017430369318540632,0.0002322064208947268,0.0014261586051570905,0.0020247997905254184
0.1,mean_log_variance_acf,0.0020181351398236196,0.001579180564821605,-0.0006173268957222668,0.0036292523052004356
0.1,taylor_gap,0.0024277260669244385,0.000432722377571167,0.001909564250093227,0.002998380567527717
0.1,p_cap_exceedance_fraction,2.0323522927689593e-05,9.247016710445683e-06,1.2056327160493826e-05,3.616898148148148e-05
0.1,tail_negative_day0_response,0.048195498198886494,0.010308592794067484,0.039256027167898014,0.06345024082389661
0.1,tail_positive_day0_response,0.011151093720972725,0.007325958354368924,0.002684127884465093,0.017755196619507363
0.1,tail_day0_asymmetry_gap,0.03704440447791377,0.011099664397660572,0.025509286724443372,0.05080535280078854
0.1,tail_days1_5_asymmetry_gap,0.07861968675350664,0.012738908997500195,0.06632051990509844,0.09721232122366026
0.2,acceptance_rate,-0.6625,0.36336104634371585,-1.0,-0.25
0.2,distance,0.0003322651765198639,0.000493078869106592,1.1359585360425373e-05,0.0011696716626636626
0.2,rough_hurst,0.0049043244974851736,0.0004792044780194244,0.0044178318410533325,0.005438784823137307
0.2,leverage_rank,-0.015166108893517532,0.0012521583695756413,-0.016734289315437467,-0.013561641631228478
0.2,zumbach_rank,-0.03554030454821691,0.004552675777125133,-0.041138636998663575,-0.028572584699140816
0.2,excess_kurtosis,1.5790928018923769,0.4189571759800738,0.9812115860456583,2.1613068606151202
0.2,max_abs_return_acf,0.0037241062230548307,0.00027390693776498706,0.0034201234947896335,0.004055283150783139
0.2,mean_log_variance_acf,0.005784572136641356,0.0029414800129454848,0.000987963479327331,0.008890155437652867
0.2,taylor_gap,0.0054721200091674685,0.0007358149472290532,0.0046127553901037155,0.006409263534262433
0.2,p_cap_exceedance_fraction,5.080880731922399e-05,2.756404626405289e-05,2.2390321869488535e-05,9.300595238095238e-05
0.2,tail_negative_day0_response,0.09632457597407407,0.01920620136102691,0.07265861502290334,0.12044162117630552
0.2,tail_positive_day0_response,0.02779048044564692,0.013608793143351686,0.014708725820023007,0.05024787114599902
0.2,tail_day0_asymmetry_gap,0.06853409552842715,0.014203276410792954,0.05109166138877044,0.08816426040689654
0.2,tail_days1_5_asymmetry_gap,0.1497177268477151,0.02134823806228873,0.12873448622663128,0.17911110413885895
0.3,acceptance_rate,-1.0,0.0,-1.0,-1.0
0.3,distance,0.001791285183606737,0.0012318838354159955,0.0007850701309841401,0.003900254789263746
0.3,rough_hurst,0.008251661873509623,0.0005510065219501431,0.007457072061536622,0.008873483616009372
0.3,leverage_rank,-0.021354233077113545,0.0018152515435417872,-0.023599486072657893,-0.019007077969402767
0.3,zumbach_rank,-0.05275881544740194,0.007059025110881268,-0.06162239302871688,-0.04206086755939392
0.3,excess_kurtosis,2.541051046099736,0.6466769143933371,1.668952712282366,3.4736950449292436
0.3,max_abs_return_acf,0.0058384812248707075,0.00044548461800601144,0.005344994529788823,0.006277288549807815
0.3,mean_log_variance_acf,0.010800815291110806,0.0040863282974267666,0.004360947413326176,0.015243010376595782
0.3,taylor_gap,0.009000132289600114,0.0009373819780096229,0.007939636349833811,0.010146927289432194
0.3,p_cap_exceedance_fraction,9.007798721340386e-05,5.386455342849099e-05,4.564180996472663e-05,0.00017998374118165784
0.3,tail_negative_day0_response,0.14333420804632085,0.01705501882511817,0.12188743774849625,0.1628578771881561
0.3,tail_positive_day0_response,0.051567103452435356,0.024547899353814986,0.022002115863288534,0.08557348629478145
0.3,tail_day0_asymmetry_gap,0.09176710459388554,0.02499028025775123,0.07070017920787704,0.12273601096157566
0.3,tail_days1_5_asymmetry_gap,0.21378473578127039,0.024954460936412126,0.18360412633580653,0.24720015394824427
0.4,acceptance_rate,-1.0,0.0,-1.0,-1.0
0.4,distance,0.004717470315024158,0.0018071242493068855,0.0031343400244845535,0.007833367673892502
0.4,rough_hurst,0.011899445808961285,0.000660373929094788,0.010778805465279076,0.012540792503214711
0.4,leverage_rank,-0.02666192628231695,0.0023382240520668763,-0.0295074233244092,-0.023615999455687074
0.4,zumbach_rank,-0.06877222625691642,0.009394027543503877,-0.08043378699431498,-0.054473216875607536
0.4,excess_kurtosis,3.5957644928791894,0.8785429507356252,2.474187604427933,4.893062684250037
0.4,max_abs_return_acf,0.008031551665605926,0.0006896073509323298,0.00717184175101387,0.008668241075822643
0.4,mean_log_variance_acf,0.016655761668581688,0.005029810613004153,0.00909266594904763,0.02226485458506923
0.4,taylor_gap,0.012876782983304752,0.001053807810698277,0.01170955279837203,0.01410764268842364
0.4,p_cap_exceedance_fraction,0.00013296406525573193,6.8156288100416e-05,8.353312389770723e-05,0.000248015873015873
0.4,tail_negative_day0_response,0.18889160037948982,0.018161840225852786,0.16738616268706047,0.21026322436310096
0.4,tail_positive_day0_response,0.07225856189896544,0.02507860000353812,0.03881184033230814,0.10026588947171805
