seed,structural_scenario_id,candidate_id,variant,variant_order,accepted,distance,feedback_asset_correlation,spike_asset_correlation,equity_risk_price,feedback_idiosyncratic_risk_price,spike_idiosyncratic_risk_price,cluster_loading,feedback_curvature,feedback_shift,spike_curvature,orthogonal_curvature,echo_loading,cap_level,cap_sharpness,mean_volatility,q995_volatility,excess_kurtosis,absolute_return_tail_ratio,hill_tail_index,hill_threshold_instability,rough_hurst,zumbach,zumbach_rank,max_abs_return_acf,leverage,leverage_rank,mean_log_variance_acf,taylor_gap,taylor_fraction,se_mean_volatility,se_q995_volatility,se_excess_kurtosis,se_absolute_return_tail_ratio,se_hill_tail_index,se_hill_threshold_instability,se_rough_hurst,se_zumbach,se_zumbach_rank,se_max_abs_return_acf,se_leverage,se_leverage_rank,se_mean_log_variance_acf,se_taylor_gap,se_taylor_fraction,q_forward_mean_max_error,p_cap_exceedance_fraction,q_cap_exceedance_fraction,normalizer_min,normalizer_max
294001,0,0,M2,0,False,0.03929190516694955,0.801437597305469,0.7497816503880119,0.35,0.0,0.0,0.41371301920153203,0.2324680272590068,0.2821753155440092,0.12108267157681221,0.0,0.0,4.979333268944174,7.367376811802387,0.16943412942015557,0.537941090150027,6.942320119103453,3.5492073984034143,3.1362831766798456,0.5360442798129545,0.05217158619546505,0.02991449583740538,0.016021165495323276,0.07508024535001434,-0.008332373754962333,-0.0037774300658015235,0.36921554136924917,0.03968558072295643,0.9343750000000001,0.007515491659995266,0.010162106519511063,1.2524873614340695,0.04879423280579313,0.10271819081954153,0.06573243733854038,0.0019166031148242614,0.01779940327919212,0.016204612362066415,0.0035371503715488323,0.00545406127942731,0.004986276533558207,0.02281128437289321,0.0035668926456979646,0.019213032686174244,1.3877787807814457e-17,4.96031746031746e-05,4.96031746031746e-05,1.318119599115548,1316.2030625075129
294001,0,0,M3,1,False,0.053292247598610405,0.801437597305469,0.7497816503880119,0.35,0.0,0.0,0.41371301920153203,0.2324680272590068,0.2821753155440092,0.12108267157681221,0.0,-0.11108825253322721,4.979333268944174,7.367376811802387,0.16965700295857827,0.5347821746995698,6.79938674698497,3.543646430372931,3.122297614644259,0.5355005085918181,0.04923196682973877,0.025870753153458766,0.013964106605659384,0.07464681419648295,-0.008746171900980456,-0.004217888973164961,0.3661611044738887,0.038527242659201946,0.9375,0.007412958064030995,0.009612889892274611,1.2158497507684667,0.0487012470335632,0.0953300340476979,0.06322003519331452,0.0018745890753139563,0.017843478806928718,0.016388914242831284,0.0034678157088719555,0.0053415191430588515,0.004945030651691002,0.022178540681882748,0.003396181835418675,0.017969882210706518,2.7755575615628914e-17,4.96031746031746e-05,4.96031746031746e-05,1.2873975594150715,1316.718008761112
294001,0,0,M2+O,2,False,0.04067649302872269,0.801437597305469,0.7497816503880119,0.35,0.0,0.0,0.41371301920153203,0.2324680272590068,0.2821753155440092,0.12108267157681221,0.055557584002110465,0.0,4.979333268944174,7.367376811802387,0.16922535272379036,0.5410736148678407,7.050798851976194,3.5448488138274987,3.1231016126817988,0.5399615510861777,0.051856001451164306,0.028136094076177565,0.016098354938221145,0.0748763042301426,-0.008734307213578386,-0.004551147521223232,0.3698288279718565,0.04016217769449991,0.9375,0.00759912040040461,0.010913539717583156,1.3042404571311645,0.05358785847869535,0.10516189749891247,0.06255726994926096,0.0018301387052214217,0.017811621295986214,0.016830182224435636,0.0033766645287467145,0.0050985046994543775,0.004948653060842902,0.022662564280740986,0.0036208085146216176,0.020665994612728736,2.0816681711721685e-17,2.48015873015873e-05,4.96031746031746e-05,1.3366120883722723,1317.465163819358
294001,0,0,M4,3,False,0.054584988530932375,0.801437597305469,0.7497816503880119,0.35,0.0,0.0,0.41371301920153203,0.2324680272590068,0.2821753155440092,0.12108267157681221,0.055557584002110465,-0.11108825253322721,4.979333268944174,7.367376811802387,0.1694517490782967,0.5376767101902495,6.909404879775348,3.5418374439450098,3.140503870292461,0.571289599496495,0.048978743405788686,0.02404580281513026,0.013841248767216402,0.07450696802639324,-0.009122441100204423,-0.00496139190948373,0.3668728813941914,0.03901208715038414,0.9375,0.007494391305143539,0.010373825978643692,1.2736523670086468,0.058206137405069316,0.10222434776925106,0.0633799892286271,0.0017889670462137293,0.01791077960810024,0.016983834186426686,0.003316616338843759,0.004984256980070121,0.004888432437285601,0.02208213925012913,0.0034467578275441213,0.020665994612728736,2.0816681711721685e-17,2.48015873015873e-05,4.96031746031746e-05,1.3045009232803289,1317.8738572157608
294001,0,1,M2,0,False,0.06335994333673176,0.801437597305469,0.7497816503880119,0.35,0.0,0.0,0.3070111525245011,0.14284441171853884,0.642547759693116,0.19074446022102418,0.0,0.0,4.031212909147143,9.391205415129662,0.17372489528311977,0.5301983360222459,5.740004781413907,3.3794257026385797,3.430006438279557,0.7185893170037352,0.04734573900945946,0.04624273002255887,0.01888828824231744,0.07721591287784238,-0.01682705379589191,-0.008896126741875943,0.28021381558460606,0.02323582174088967,0.865625,0.005774958870129955,0.008100180932007095,1.0608998299912502,0.046045081028198834,0.17655440709386866,0.15742238470612085,0.0019467812313664506,0.01645175280290439,0.01664871367591832,0.004013015503144404,0.004841407912244309,0.004381239590245571,0.02050421952466493,0.0029583554571984915,0.030862176824283365,2.0816681711721685e-17,0.0001984126984126984,0.0002232142857142857,1.387391822542455,204.2421940608622
294001,0,1,M3,1,False,0.04675772985137732,0.801437597305469,0.7497816503880119,0.35,0.0,0.0,0.3070111525245011,0.14284441171853884,0.642547759693116,0.19074446022102418,0.0,0.09740700935944913,4.031212909147143,9.391205415129662,0.17343903621945267,0.5336510233797016,5.865370326560795,3.386459473132882,3.3748426276053776,0.6936203510812078,0.050538817821207366,0.050678619910456996,0.021474258116903545,0.07755301590210847,-0.016405391914377756,-0.008344112304650868,0.28331130032737256,0.024352574877569907,0.875,0.0058774748799941805,0.008597245596360286,1.0777491467357678,0.043665841085823685,0.17217058536121627,0.1465367135414362,0.002043498512844472,0.016645148107513545,0.016680404209329997,0.004132278987750679,0.005031473051084804,0.004443677118814215,0.021163234815832977,0.003069371202329906,0.031950482521134686,1.3877787807814457e-17,0.0001984126984126984,0.0002232142857142857,1.41317981530071,204.2602689617223
294001,0,1,M2+O,2,False,5.971110164364413e-05,0.801437597305469,0.7497816503880119,0.35,0.0,0.0,0.3070111525245011,0.14284441171853884,0.642547759693116,0.19074446022102418,0.49734065916059195,0.0,4.031212909147143,9.391205415129662,0.15930379049815097,0.5818658757645012,9.844966067152843,3.603274589504075,3.036493058418263,0.6306412359474235,0.10399640387463871,0.016825458360266603,0.011351394916879178,0.087275041018475,-0.01418868419353234,-0.0052992999066789875,0.3631441974908196,0.052687091118058936,0.9375,0.007729884133863817,0.013918383052900607,1.5915537010691014,0.06421343163990152,0.12246882878393295,0.07747622386472669,0.0029567596817542466,0.015528776813238929,0.017014045601701,0.004307186873518948,0.005238422173782863,0.0051576154679115836,0.02122078102863543,0.006413082343929225,0.023048861143232215,2.0816681711721685e-17,0.0002728174603174603,0.0003224206349206349,1.3858059546021604,263.94412811739846
294001,0,1,M4,3,False,3.617358125545335e-05,0.801437597305469,0.7497816503880119,0.35,0.0,0.0,0.3070111525245011,0.14284441171853884,0.642547759693116,0.19074446022102418,0.49734065916059195,0.09740700935944913,4.031212909147143,9.391205415129662,0.1590972260620484,0.5846930598414006,9.989649380709384,3.603432613309189,3.039527953718812,0.6388886807903871,0.10552530386535124,0.020534703916562452,0.013154161342234962,0.08760342601262262,-0.01412164653818506,-0.004968763969274818,0.3631380591445748,0.05349981728804807,0.934375,0.00782253150482603,0.014883006520171767,1.6052439693860512,0.06244500796955429,0.12934292084706328,0.08498298143703535,0.0029799593888067124,0.015511064512972716,0.01717061876268606,0.004331766178729344,0.005312556738328727,0.005224299615838655,0.0214132006808457,0.006549083068854113,0.024460320759684785,2.0816681711721685e-17,0.00029761904761904765,0.00034722222222222224,1.3725902815599698,268.50865020193413
294001,0,2,M2,0,False,0.4930415032459068,0.801437597305469,0.7497816503880119,0.35,0.0,0.0,0.15824501533061267,0.47178818037443365,0.47792880423367023,0.06573836363332915,0.0,0.0,6.196548670530319,10.978457712568343,0.14185575588265187,0.5878251510507986,12.17022321582219,4.1589134966273384,2.6810998029787374,0.6849993977986367,0.007965858712252343,0.013763372987562368,0.0033565753409701216,0.06991019676190122,-0.01500284789677201,-0.01444120297664145,0.038705038838014474,0.008837902098580255,0.69375,0.0024953855765452245,0.0051527898153996745,1.5009955414195497,0.0827584889900312,0.06195912634562077,0.08775326468198362,0.0010890816131130386,0.015073143779263016,0.015038417173376822,0.0029274768099260716,0.0016337542074036067,0.0024389603792384727,0.004837779203606126,0.0013828637054896138,0.03590351654086268,2.0816681711721685e-17,0.0010912698412698413,0.0012152777777777778,1.657722176441127,26547.901889311746
294001,0,2,M3,1,False,0.44041604521053196,0.801437597305469,0.7497816503880119,0.35,0.0,0.0,0.15824501533061267,0.47178818037443365,0.47792880423367023,0.06573836363332915,0.0,0.30806223507970565,6.196548670530319,10.978457712568343,0.14175367757363572,0.5916597981337758,12.421588245610419,4.182174349955212,2.670017945158391,0.6686681202773415,0.011351725376864578,0.021167489698322273,0.006866600054026766,0.07028815926102781,-0.015041587601930625,-0.013610647456090284,0.04515707615006544,0.01010748798360234,0.725,0.002672887916076062,0.00569532888413221,1.6231386055195538,0.07620833041826779,0.05525363864587935,0.08678901987552894,0.0010052802045740692,0.01427192944906476,0.014100063533251729,0.003187959799542188,0.0017523355277505703,0.0026526722776745336,0.0053020850618953,0.0014787973189660732,0.03763863263545405,2.0816681711721685e-17,0.0011160714285714285,0.001240079365079365,1.7431687609903104,26924.817729376555
